cruce,fecha,hora_inicio,hora_final,livianos,colectivos,pesados,observaciones
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,15,16,1680,118,7,
SENILLOSA Y CHACO,2018-08-16,17,18,761,30,2,
SAN BLAS Y IRIGOYEN,2018-05-29,18,19,1653,6,1,
SIMBRON Y IRIGOYEN,2018-05-29,10,11,962,13,9,
SIMBRON Y VIRGILIO,2019-03-26,10,11,414,1,0,
SIMBRON Y IRIGOYEN,2018-05-29,9,10,1033,13,6,
SENILLOSA Y CHACO,2018-08-16,8,9,788,34,0,
SAENZ AV. Y LA PLATA AV.,2018-05-24,18,19,2151,324,10,
"LOZANO, PEDRO Y HUGO, VICTOR",2019-03-26,19,20,494,1,0,
"AV. FOREST Y GARCIA, TEODORO",2018-06-06,18,19,2124,103,7,
RIVADAVIA AV. Y LA PLATA AV.,2018-08-09,8,9,2193,138,3,
"GONZALEZ, ELIPIDIO Y IRIGOYEN",2018-05-29,11,12,902,5,4,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,9,10,477,0,0,
"GONZALEZ, ELIPIDIO Y IRIGOYEN",2018-05-29,18,19,1576,8,1,
SIMBRON Y VIRGILIO,2019-03-26,15,16,442,0,1,
AV. ELCANO Y AV. TRIUNVIRATO,2018-06-06,18,19,1284,74,3,
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,17,18,1950,92,13,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,18,19,646,0,0,
SAN BLAS Y IRIGOYEN,2018-05-29,19,20,1230,5,2,
CHACO Y REPUBLICA DE INDONESIA,2018-08-16,9,10,1103,0,0,
AV. DEL LIBERTADOR Y VEDIA,2018-05-22,8,9,4740,38,13,
AV. CABILDO  Y COMODORO RIVADAVIA,2019-06-26,18,19,2007,9,0,NO SE CONTARON COLECTIVOS POR METROBUS
"ACHA, MARIANO, GRAL. Y LA PAMPA",2018-06-13,8,9,1443,40,12,
DIRECTORIO AV. Y LA PLATA AV.,2018-08-09,9,10,4473,228,8,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,8,9,617,0,0,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-03-20,9,10,506,74,4,
AV.ALVAREZ JONTE Y IRIGOYEN,2018-05-29,17,18,1530,12,5,
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,10,11,1273,100,13,
"DE LOS INCAS AV. Y ACHA, MARIANO, GRAL.",2018-06-13,8,9,1702,44,7,
SAENZ AV. Y LA PLATA AV.,2018-05-24,17,18,2088,355,17,
"ACOYTE AV. Y ARANGUREN JUAN F., DR.",2018-06-26,8,9,1847,137,15,
AV. DEL LIBERTADOR Y VEDIA,2018-05-22,17,18,4040,48,9,
"GONZALEZ, ELIPIDIO Y IRIGOYEN",2018-05-29,16,17,1451,7,8,
DORREGO AV. Y CASTILLO,2018-12-12,18,19,1152,24,1,
