cruce,fecha,hora_inicio,hora_final,livianos,colectivos,pesados,observaciones
AV. CABILDO  Y COMODORO RIVADAVIA,2019-06-26,17,18,2173,9,0,NO SE CONTARON COLECTIVOS POR METROBUS
AV. ELCANO Y AV. TRIUNVIRATO,2018-06-06,18,19,1284,74,3,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,17,18,620,0,0,
AV.ALVAREZ JONTE Y IRIGOYEN,2018-05-29,8,9,1150,37,4,
NEUQUEN Y HIDALGO,2018-06-26,9,10,1453,41,5,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-03-20,8,9,736,81,6,
"DELLEPIENE, LUIS TTE GRAL. (SUR) Y LACARRA AV.",2018-06-07,17,18,2651,57,80,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-01-22,18,19,306,64,1,
SIMBRON Y IRIGOYEN,2018-05-29,17,18,1353,10,5,
"LOZANO, PEDRO Y IRIGOYEN",2018-05-29,15,16,992,15,8,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,18,19,646,0,0,
SANTO TOME Y IRIGOYEN,2018-05-29,16,17,1193,16,7,
SIMBRON Y IRIGOYEN,2018-05-29,11,12,1009,9,7,
AV. CABILDO  Y COMODORO RIVADAVIA,2019-06-26,9,10,2188,9,3,NO SE CONTARON COLECTIVOS POR METROBUS
"ACHA, MARIANO, GRAL. Y LA PAMPA",2018-06-13,8,9,1443,40,12,
ALVAREZ THOMAS AV. Y DE LOS INCAS AV.,2019-07-23,16,17,2779,53,17,
"LOZANO, PEDRO Y IRIGOYEN",2018-05-29,10,11,837,8,12,
LA PLATA AV. Y ZAÑARTU,2018-08-14,18,19,1372,98,0,
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,11,12,1217,118,12,
"LACROZE, FEDERICO AV. Y AV. TRIUNVIRATO",2018-06-06,8,9,1161,314,2,
"DE LOS INCAS AV. Y ACHA, MARIANO, GRAL.",2018-06-13,10,11,1475,40,17,
AV.ALVAREZ JONTE Y IRIGOYEN,2018-05-29,11,12,898,33,4,
"ACHA, MARIANO, GRAL. Y LA PAMPA",2018-06-13,12,13,1091,44,13,
SAN BLAS Y IRIGOYEN,2018-05-29,10,11,770,6,9,
BOGOTA Y ACOYTE AV.,2018-06-26,8,9,149,0,2,
AV.ALVAREZ JONTE Y IRIGOYEN,2018-05-29,10,11,895,35,9,
SAN BLAS Y IRIGOYEN,2018-05-29,17,18,1573,1,7,
SAN BLAS Y IRIGOYEN,2018-05-29,8,9,964,5,4,
