cruce,fecha,hora_inicio,hora_final,livianos,colectivos,pesados,observaciones
"AV. FOREST Y GARCIA, TEODORO",2018-06-06,18,19,2124,103,7,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,18,19,646,0,0,
AV.ALVAREZ JONTE Y IRIGOYEN,2018-05-29,16,17,1370,16,8,
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,17,18,1950,92,13,
RAWSON Y LEZICA,2019-06-26,18,19,1114,0,0,
SAN BLAS Y IRIGOYEN,2018-05-29,9,10,857,4,7,
NEUQUEN Y HIDALGO,2018-06-27,18,19,1654,37,7,
AV.ALVAREZ JONTE Y IRIGOYEN,2018-05-29,10,11,895,35,9,
RAWSON Y BARTOLOME MITRE,2019-06-26,18,19,1443,0,0,
"INDEPENDENCIA, AV. Y LA PLATA AV.",2018-08-09,18,19,4780,132,3,
LA PLATA AV. Y JUAN DE GARAY AV.,2018-08-09,9,10,3438,169,12,
"LOZANO, PEDRO Y IRIGOYEN",2018-05-29,18,19,1339,10,1,
"PUEYRREDÓN, HONORIO DR. AV. Y NEUQUEN",2018-06-27,18,19,1705,27,8,
NAZARRE Y CORTINA,2019-03-26,9,10,252,0,0,
BOGOTA Y ACOYTE AV.,2018-06-26,8,9,149,0,2,
CHACO Y DOBLAS,2018-08-16,8,9,532,0,1,
"LACROZE, FEDERICO AV. Y AV. TRIUNVIRATO",2018-06-06,17,18,1387,304,8,
"DELLEPIENE, LUIS TTE GRAL. (SUR) Y LACARRA AV.",2018-06-07,18,19,2505,63,76,
RAWSON Y BARTOLOME MITRE,2019-06-26,17,18,1297,0,3,
"ACHA, MARIANO, GRAL. Y LA PAMPA",2018-06-13,11,12,1011,53,17,
"LOZANO, PEDRO Y IRIGOYEN",2018-05-29,11,12,846,8,1,
"ACOYTE AV. Y ARANGUREN JUAN F., DR.",2018-06-27,17,18,2390,134,6,
"GONZALEZ, ELIPIDIO Y IRIGOYEN",2018-05-29,8,9,1093,5,5,
"ACHA, MARIANO, GRAL. Y LA PAMPA",2018-06-13,9,10,1398,61,15,
RIVADAVIA AV. Y LA PLATA AV.,2018-08-09,9,10,2100,133,6,
AV. CABILDO  Y COMODORO RIVADAVIA,2019-06-26,17,18,2173,9,0,NO SE CONTARON COLECTIVOS POR METROBUS
"DELLEPIENE, LUIS TTE GRAL. (SUR) Y LACARRA AV.",2018-06-07,9,17,2660,46,122,
SAENZ AV. Y LA PLATA AV.,2018-05-24,8,9,1668,361,4,
"DE LOS INCAS AV. Y ACHA, MARIANO, GRAL.",2018-06-13,9,10,1669,48,17,
"DONADO Y BALBIN, RICARDO, DR. AV.",2019-03-21,17,18,5195,104,28,
SIMBRON Y VIRGILIO,2019-03-26,9,10,359,0,0,
NOGOYA Y IRIGOYEN,2018-05-29,11,12,1137,65,4,
NOGOYA Y IRIGOYEN,2018-05-29,9,10,1323,61,7,
"LOZANO, PEDRO Y HUGO, VICTOR",2019-03-26,12,13,487,5,0,
CHACO Y REPUBLICA DE INDONESIA,2018-08-16,8,9,1359,0,0,
NOGOYA Y IRIGOYEN,2018-05-29,16,17,1494,53,8,
DIRECTORIO AV. Y LA PLATA AV.,2018-08-09,9,10,4473,228,8,
