cruce,fecha,hora_inicio,hora_final,livianos,colectivos,pesados,observaciones
SIMBRON Y IRIGOYEN,2018-05-29,19,20,1210,8,3,
AV. GAONA Y GRAL. JOSÉ GERVASIO ARTIGAS,2018-05-23,17,18,3262,58,8,
NOGOYA Y IRIGOYEN,2018-05-29,9,10,1323,61,7,
AV. ELCANO Y AV. TRIUNVIRATO,2018-06-06,9,10,1451,75,12,
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,15,16,1680,118,7,
SIMBRON Y VIRGILIO,2019-03-26,10,11,414,1,0,
SIMBRON Y IRIGOYEN,2018-05-29,16,17,1334,14,8,
LA PLATA AV. Y JUAN DE GARAY AV.,2018-08-09,8,9,2843,117,16,
SIMBRON Y IRIGOYEN,2018-05-29,15,16,1120,10,13,
DORREGO AV. Y CASTILLO,2018-12-12,18,19,1152,24,1,
NOGOYA Y IRIGOYEN,2018-05-29,18,19,1487,65,1,
NEUQUEN Y HIDALGO,2018-06-27,18,19,1654,37,7,
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,16,17,1839,97,16,
SAN BLAS Y IRIGOYEN,2018-05-29,11,12,884,7,4,
"GONZALEZ, ELIPIDIO Y IRIGOYEN",2018-05-29,17,18,1502,1,5,
"DONADO Y BALBIN, RICARDO, DR. AV.",2019-03-21,17,18,5195,104,28,
SIMBRON Y VIRGILIO,2019-03-26,16,17,573,0,0,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,15,16,503,4,1,
SAN BLAS Y IRIGOYEN,2018-05-29,9,10,857,4,7,
AV. EVA PERON Y AV. LACARRA,2018-03-15,17,18,4802,188,62,
AV.ALVAREZ JONTE Y IRIGOYEN,2018-05-29,17,18,1530,12,5,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,18,19,646,0,0,
RAWSON Y BARTOLOME MITRE,2019-06-26,18,19,1443,0,0,
"DELLEPIENE, LUIS TTE GRAL. (NORTE) Y LACARRA AV.",2018-06-07,8,9,2158,50,87,
SAN BLAS Y IRIGOYEN,2018-05-29,10,11,770,6,9,
NEUQUEN Y HIDALGO,2018-06-27,17,18,1574,40,5,
"ACHA, MARIANO, GRAL. Y LA PAMPA",2018-06-13,9,10,1398,61,15,
CHACO Y REPUBLICA DE INDONESIA,2018-08-16,18,19,1291,0,0,
SAN BLAS Y IRIGOYEN,2018-05-29,16,17,1383,5,11,
"LOZANO, PEDRO Y IRIGOYEN",2018-05-29,17,18,1291,10,4,
