cruce,fecha,hora_inicio,hora_final,livianos,colectivos,pesados,observaciones
LA PLATA AV. Y CHICLANA AV.,2018-08-07,8,9,2636,134,12,
AV. ELCANO Y GUZMAN,2018-06-06,8,9,1536,143,7,
ALVAREZ THOMAS AV. Y DE LOS INCAS AV.,2019-07-23,16,17,2779,53,17,
DORREGO AV. Y CORDOBA AV.,2018-12-12,17,18,3432,76,7,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-03-20,17,18,400,72,2,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,11,12,415,1,0,
BOGOTA Y ACOYTE AV.,2018-06-26,8,9,149,0,2,
NOGOYA Y IRIGOYEN,2018-05-29,16,17,1494,53,8,
"DE LOS INCAS AV. Y ACHA, MARIANO, GRAL.",2018-06-13,12,13,1589,25,16,
SANTO TOME Y IRIGOYEN,2018-05-29,10,11,835,15,12,
SANTO TOME Y IRIGOYEN,2018-05-29,15,16,1009,17,9,
LA PLATA AV. Y CHICLANA AV.,2018-08-15,18,19,2586,123,3,
"LOZANO, PEDRO Y HUGO, VICTOR",2019-03-26,10,11,295,0,0,
SAN BLAS Y IRIGOYEN,2018-05-29,17,18,1573,1,7,
"DE LOS INCAS AV. Y ACHA, MARIANO, GRAL.",2018-06-13,9,10,1669,48,17,
"INDEPENDENCIA, AV. Y LA PLATA AV.",2018-08-14,9,10,3659,177,18,
"ACOYTE AV. Y ARANGUREN JUAN F., DR.",2018-06-27,18,19,2262,137,2,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-01-22,8,9,533,71,7,
AV. CABILDO  Y COMODORO RIVADAVIA,2019-06-26,11,12,2167,9,5,NO SE CONTARON COLECTIVOS POR METROBUS
"ACHA, MARIANO, GRAL. Y LA PAMPA",2018-06-13,9,10,1398,61,15,
"LOZANO, PEDRO Y IRIGOYEN",2018-05-29,11,12,846,8,1,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,8,9,617,0,0,
SENILLOSA Y CHACO,2018-08-16,17,18,761,30,2,
NAZARRE Y CORTINA,2019-03-26,19,20,384,0,0,
RIVADAVIA AV. Y LA PLATA AV.,2018-08-09,8,9,2193,138,3,
AV.ALVAREZ JONTE Y IRIGOYEN,2018-05-29,16,17,1370,16,8,
SIMBRON Y IRIGOYEN,2018-05-29,9,10,1033,13,6,
SENILLOSA Y CHACO,2018-08-16,9,10,705,48,2,
RAWSON Y LEZICA,2019-06-26,18,19,1114,0,0,
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,15,16,1680,118,7,
SIMBRON Y IRIGOYEN,2018-05-29,19,20,1210,8,3,
"LOZANO, PEDRO Y IRIGOYEN",2018-05-29,9,10,940,12,7,
RIVADAVIA AV. Y LA PLATA AV.,2018-08-07,19,20,2581,187,0,
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,9,10,1488,92,11,
"AV. FOREST Y GARCIA, TEODORO",2018-06-06,17,18,2135,108,5,
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,10,11,1273,100,13,
NAZARRE Y CORTINA,2019-03-26,8,9,378,0,4,
ACOYTE AV. Y RIVADAVIA AV.,2018-06-26,8,9,2533,261,21,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-03-20,18,19,383,61,2,
"ACHA, MARIANO, GRAL. Y LA PAMPA",2018-06-13,8,9,1443,40,12,
"LOZANO, PEDRO Y HUGO, VICTOR",2019-03-26,18,19,689,1,0,
"DONADO Y BALBIN, RICARDO, DR. AV.",2019-03-21,18,19,5312,97,19,
AV. ELCANO Y AV. TRIUNVIRATO,2018-06-06,8,9,1556,75,13,
LA PLATA AV. Y CHICLANA AV.,2018-08-15,19,20,2073,151,4,
AV. GAONA Y GRAL. JOSÉ GERVASIO ARTIGAS,2018-05-23,17,18,3262,58,8,
SIMBRON Y IRIGOYEN,2018-05-29,16,17,1334,14,8,
"DELLEPIENE, LUIS TTE GRAL. (NORTE) Y LACARRA AV.",2018-06-07,9,17,2267,33,124,
NEUQUEN Y HIDALGO,2018-06-26,9,10,1453,41,5,
NEUQUEN Y HIDALGO,2018-06-26,8,9,1685,42,3,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-01-22,17,18,272,69,2,
"INDEPENDENCIA, AV. Y LA PLATA AV.",2018-08-09,18,19,4780,132,3,
BOGOTA Y ACOYTE AV.,2018-06-26,9,10,125,0,4,
AV. CABILDO  Y COMODORO RIVADAVIA,2019-06-26,17,18,2173,9,0,NO SE CONTARON COLECTIVOS POR METROBUS
SENILLOSA Y CHACO,2018-08-16,18,19,675,37,1,
AV.ALVAREZ JONTE Y IRIGOYEN,2018-05-29,15,16,1065,16,8,
EL MAESTRO Y CHACO,2018-08-16,8,9,967,0,0,
SANTO TOME Y IRIGOYEN,2018-05-29,18,19,1177,15,1,
"LOZANO, PEDRO Y HUGO, VICTOR",2019-03-26,12,13,487,5,0,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,16,17,589,3,0,
BOGOTA Y ACOYTE AV.,2018-06-27,17,18,234,0,0,
"PUEYRREDÓN, HONORIO DR. AV. Y NEUQUEN",2018-06-27,18,19,1705,27,8,
"PUEYRREDÓN, HONORIO DR. AV. Y NEUQUEN",2018-06-26,8,9,1695,33,4,
"ACHA, MARIANO, GRAL. Y LA PAMPA",2018-06-13,12,13,1091,44,13,
AV. CABILDO  Y COMODORO RIVADAVIA,2019-06-26,15,16,2155,9,1,NO SE CONTARON COLECTIVOS POR METROBUS
"UDAONDO, GUILLERMO AV. Y FIGUEROA ALCORTA, PRES. AV.",2018-06-28,9,10,2838,42,12,
AV.ALVAREZ JONTE Y IRIGOYEN,2018-05-29,19,20,1256,9,3,
SIMBRON Y VIRGILIO,2019-03-26,17,18,616,0,1,
NOGOYA Y IRIGOYEN,2018-05-29,8,9,1491,67,10,
"LOZANO, PEDRO Y IRIGOYEN",2018-05-29,10,11,837,8,12,
SIMBRON Y VIRGILIO,2019-03-26,16,17,573,0,0,
NAZARRE Y CORTINA,2019-03-26,10,11,265,0,1,
"LOZANO, PEDRO Y IRIGOYEN",2018-05-29,19,20,1052,10,1,
SANTO TOME Y IRIGOYEN,2018-05-29,19,20,970,12,2,
"LOZANO, PEDRO Y HUGO, VICTOR",2019-03-26,8,9,545,0,1,
EL MAESTRO Y CHACO,2018-08-16,18,19,976,0,0,
"LOZANO, PEDRO Y HUGO, VICTOR",2019-03-26,9,10,330,0,0,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-01-22,18,19,306,64,1,
"AV. FOREST Y GARCIA, TEODORO",2018-06-06,9,10,1707,134,5,
"GONZALEZ, ELIPIDIO Y IRIGOYEN",2018-05-29,16,17,1451,7,8,
DIRECTORIO AV. Y LA PLATA AV.,2018-08-09,9,10,4473,228,8,
AV.ALVAREZ JONTE Y IRIGOYEN,2018-05-29,10,11,895,35,9,
AV.ALVAREZ JONTE Y IRIGOYEN,2018-05-29,8,9,1150,37,4,
AV. CABILDO  Y COMODORO RIVADAVIA,2019-06-26,16,17,2151,9,1,NO SE CONTARON COLECTIVOS POR METROBUS
RAWSON Y BARTOLOME MITRE,2019-06-26,18,19,1443,0,0,
"ACOYTE AV. Y ARANGUREN JUAN F., DR.",2018-06-26,9,10,1764,146,9,
SANTO TOME Y IRIGOYEN,2018-05-29,9,10,964,13,7,
SAENZ AV. Y LA PLATA AV.,2018-05-24,17,18,2088,355,17,
"PUEYRREDÓN, HONORIO DR. AV. Y NEUQUEN",2018-06-27,17,18,1490,31,6,
NOGOYA Y IRIGOYEN,2018-05-29,18,19,1487,65,1,
SIMBRON Y VIRGILIO,2019-03-26,11,12,515,0,0,
AV. ELCANO Y GUZMAN,2018-06-06,18,19,2135,157,8,
"GONZALEZ, ELIPIDIO Y IRIGOYEN",2018-05-29,8,9,1093,5,5,
"LOZANO, PEDRO Y IRIGOYEN",2018-05-29,16,17,1209,12,9,
NOGOYA Y IRIGOYEN,2018-05-29,9,10,1323,61,7,
DORREGO AV. Y CASTILLO,2018-12-12,17,18,1162,37,3,
SAN BLAS Y IRIGOYEN,2018-05-29,15,16,1036,5,8,
"GONZALEZ, ELIPIDIO Y IRIGOYEN",2018-05-29,11,12,902,5,4,
AV. DEL LIBERTADOR Y VEDIA,2018-05-22,17,18,4040,48,9,
"GONZALEZ, ELIPIDIO Y IRIGOYEN",2018-05-29,19,20,1202,5,4,
"ROSARIO Y MORENO, MARIA JOSE AV.",2018-08-14,8,9,2148,346,7,
SIMBRON Y VIRGILIO,2019-03-26,9,10,359,0,0,
SIMBRON Y IRIGOYEN,2018-05-29,18,19,1397,10,3,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,17,18,620,0,0,
SAN BLAS Y IRIGOYEN,2018-05-29,11,12,884,7,4,
"LACROZE, FEDERICO AV. Y AV. TRIUNVIRATO",2018-06-06,17,18,1387,304,8,
AV. EVA PERON Y AV. LACARRA,2018-03-15,18,19,4468,213,62,
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,16,17,1839,97,16,
"LACROZE, FEDERICO AV. Y AV. TRIUNVIRATO",2018-06-06,18,19,1349,305,5,
NAZARRE Y CORTINA,2019-03-26,16,17,436,1,0,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-01-22,9,10,462,73,4,
AV. ELCANO Y GUZMAN,2018-06-06,17,18,1893,156,10,
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,19,20,1635,118,12,
SIMBRON Y VIRGILIO,2019-03-26,19,20,579,0,0,
LA PLATA AV. Y JUAN DE GARAY AV.,2018-08-14,18,19,3496,119,3,
EL MAESTRO Y CHACO,2018-08-16,9,10,817,0,0,
AV. ELCANO Y AV. TRIUNVIRATO,2018-06-06,9,10,1451,75,12,
"AV. FOREST Y GARCIA, TEODORO",2018-06-06,18,19,2124,103,7,
"LOZANO, PEDRO Y IRIGOYEN",2018-05-29,8,9,1107,12,5,
NOGOYA Y IRIGOYEN,2018-05-29,19,20,1345,61,1,
CHACO Y REPUBLICA DE INDONESIA,2018-08-16,17,18,1310,0,1,
NOGOYA Y IRIGOYEN,2018-05-29,17,18,1484,45,7,
NAZARRE Y CORTINA,2019-03-26,17,18,507,0,0,
DORREGO AV. Y CORDOBA AV.,2018-12-12,18,19,3363,69,5,
AV. CABILDO  Y COMODORO RIVADAVIA,2019-06-26,9,10,2188,9,3,NO SE CONTARON COLECTIVOS POR METROBUS
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-03-20,12,13,397,63,2,
SAENZ AV. Y LA PLATA AV.,2018-05-24,18,19,2151,324,10,
SIMBRON Y VIRGILIO,2019-03-26,10,11,414,1,0,
ALVAREZ THOMAS AV. Y DE LOS INCAS AV.,2019-07-23,17,18,3104,45,7,
SIMBRON Y IRIGOYEN,2018-05-29,8,9,1162,9,5,
DORREGO AV. Y CASTILLO,2018-12-12,18,19,1152,24,1,
"LACROZE, FEDERICO AV. Y AV. TRIUNVIRATO",2018-06-06,8,9,1161,314,2,
NOGOYA Y IRIGOYEN,2018-05-29,10,11,1347,63,12,
AV. DEL LIBERTADOR Y VEDIA,2018-05-22,18,19,6601,72,6,
AV. DEL LIBERTADOR Y VEDIA,2018-05-22,19,20,2657,32,1,
RIVADAVIA AV. Y LA PLATA AV.,2018-08-07,18,19,2739,149,4,
"DE LOS INCAS AV. Y ACHA, MARIANO, GRAL.",2018-06-13,11,12,1540,28,11,
AV.ALVAREZ JONTE Y IRIGOYEN,2018-05-29,11,12,898,33,4,
SIMBRON Y IRIGOYEN,2018-05-29,15,16,1120,10,13,
AV. GAONA Y GRAL. JOSÉ GERVASIO ARTIGAS,2018-05-23,16,17,3189,65,14,
SIMBRON Y VIRGILIO,2019-03-26,18,19,669,0,0,
AV.ALVAREZ JONTE Y IRIGOYEN,2018-05-29,9,10,1021,29,8,
ACOYTE AV. Y RIVADAVIA AV.,2018-06-26,9,10,2362,250,18,
AV. ELCANO Y GUZMAN,2018-06-06,9,10,1748,185,5,
"PUEYRREDÓN, HONORIO DR. AV. Y NEUQUEN",2018-06-26,9,10,1578,37,6,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,9,10,477,0,0,
"LACROZE, FEDERICO AV. Y AV. TRIUNVIRATO",2018-06-06,9,10,1204,352,2,
