cruce,fecha,hora_inicio,hora_final,livianos,colectivos,pesados,observaciones
"LACROZE, FEDERICO AV. Y AV. TRIUNVIRATO",2018-06-06,18,19,1349,305,5,
AV.ALVAREZ JONTE Y IRIGOYEN,2018-05-29,19,20,1256,9,3,
CHACO Y DOBLAS,2018-08-16,8,9,532,0,1,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-03-20,9,10,506,74,4,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,9,10,477,0,0,
BOGOTA Y ACOYTE AV.,2018-06-26,9,10,125,0,4,
SAN BLAS Y IRIGOYEN,2018-05-29,10,11,770,6,9,
LA PLATA AV. Y CHICLANA AV.,2018-08-15,18,19,2586,123,3,
SANTO TOME Y IRIGOYEN,2018-05-29,8,9,982,20,5,
SIMBRON Y VIRGILIO,2019-03-26,16,17,573,0,0,
AV. ELCANO Y AV. TRIUNVIRATO,2018-06-06,17,18,1281,71,8,
AV. CABILDO  Y COMODORO RIVADAVIA,2019-06-26,9,10,2188,9,3,NO SE CONTARON COLECTIVOS POR METROBUS
"UDAONDO, GUILLERMO AV. Y FIGUEROA ALCORTA, PRES. AV.",2018-06-28,18,19,3294,32,9,
"LOZANO, PEDRO Y IRIGOYEN",2018-05-29,16,17,1209,12,9,
SANTO TOME Y IRIGOYEN,2018-05-29,16,17,1193,16,7,
NEUQUEN Y HIDALGO,2018-06-26,9,10,1453,41,5,
SIMBRON Y IRIGOYEN,2018-05-29,9,10,1033,13,6,
"DELLEPIENE, LUIS TTE GRAL. (SUR) Y LACARRA AV.",2018-06-07,8,9,2767,84,104,
"UDAONDO, GUILLERMO AV. Y FIGUEROA ALCORTA, PRES. AV.",2018-06-28,8,9,3013,35,10,
"DELLEPIENE, LUIS TTE GRAL. (NORTE) Y LACARRA AV.",2018-06-07,17,18,2525,33,132,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,8,9,617,0,0,
LA PLATA AV. Y JUAN DE GARAY AV.,2018-08-09,9,10,3438,169,12,
EL MAESTRO Y CHACO,2018-08-16,18,19,976,0,0,
CHACO Y DOBLAS,2018-08-16,9,10,568,3,0,
"LOZANO, PEDRO Y HUGO, VICTOR",2019-03-26,11,12,318,0,0,
DORREGO AV. Y CORDOBA AV.,2018-12-12,17,18,3432,76,7,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,18,19,646,0,0,
"AV. FOREST Y GARCIA, TEODORO",2018-06-06,17,18,2135,108,5,
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,17,18,1950,92,13,
AV. CABILDO  Y COMODORO RIVADAVIA,2019-06-26,8,9,1971,9,4,NO SE CONTARON COLECTIVOS POR METROBUS
SANTO TOME Y IRIGOYEN,2018-05-29,19,20,970,12,2,
AV.ALVAREZ JONTE Y IRIGOYEN,2018-05-29,15,16,1065,16,8,
NOGOYA Y IRIGOYEN,2018-05-29,10,11,1347,63,12,
SIMBRON Y IRIGOYEN,2018-05-29,10,11,962,13,9,
LA PLATA AV. Y ZAÑARTU,2018-08-14,18,19,1372,98,0,
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,10,11,1273,100,13,
"INDEPENDENCIA, AV. Y LA PLATA AV.",2018-08-14,8,9,4086,155,15,
"ACHA, MARIANO, GRAL. Y LA PAMPA",2018-06-13,11,12,1011,53,17,
"DELLEPIENE, LUIS TTE GRAL. (NORTE) Y LACARRA AV.",2018-06-07,8,9,2158,50,87,
NEUQUEN Y HIDALGO,2018-06-26,8,9,1685,42,3,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-01-22,9,10,462,73,4,
NAZARRE Y CORTINA,2019-03-26,16,17,436,1,0,
"GONZALEZ, ELIPIDIO Y IRIGOYEN",2018-05-29,16,17,1451,7,8,
ALVAREZ THOMAS AV. Y DE LOS INCAS AV.,2019-07-23,17,18,3104,45,7,
SAN BLAS Y IRIGOYEN,2018-05-29,15,16,1036,5,8,
"DE LOS INCAS AV. Y ACHA, MARIANO, GRAL.",2018-06-13,12,13,1589,25,16,
AV. CABILDO  Y COMODORO RIVADAVIA,2019-06-26,15,16,2155,9,1,NO SE CONTARON COLECTIVOS POR METROBUS
SANTO TOME Y IRIGOYEN,2018-05-29,17,18,1209,11,5,
SIMBRON Y IRIGOYEN,2018-05-29,16,17,1334,14,8,
NAZARRE Y CORTINA,2019-03-26,18,19,483,0,0,
"ROSARIO Y MORENO, MARIA JOSE AV.",2018-08-14,9,10,2197,330,11,
SAN BLAS Y IRIGOYEN,2018-05-29,19,20,1230,5,2,
SAENZ AV. Y LA PLATA AV.,2018-05-24,8,9,1668,361,4,
"LOZANO, PEDRO Y IRIGOYEN",2018-05-29,8,9,1107,12,5,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-01-22,18,19,306,64,1,
NEUQUEN Y HIDALGO,2018-06-27,17,18,1574,40,5,
AV. CABILDO  Y COMODORO RIVADAVIA,2019-06-26,17,18,2173,9,0,NO SE CONTARON COLECTIVOS POR METROBUS
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-03-20,12,13,397,63,2,
"ROSARIO Y MORENO, MARIA JOSE AV.",2018-08-14,8,9,2148,346,7,
SENILLOSA Y CHACO,2018-08-16,9,10,705,48,2,
SAN BLAS Y IRIGOYEN,2018-05-29,11,12,884,7,4,
AV. GAONA Y GRAL. JOSÉ GERVASIO ARTIGAS,2018-05-23,17,18,3262,58,8,
"UDAONDO, GUILLERMO AV. Y FIGUEROA ALCORTA, PRES. AV.",2018-06-28,9,10,2838,42,12,
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,18,19,1866,98,12,
"GONZALEZ, ELIPIDIO Y IRIGOYEN",2018-05-29,10,11,842,5,11,
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,19,20,1635,118,12,
"ACOYTE AV. Y ARANGUREN JUAN F., DR.",2018-06-26,8,9,1847,137,15,
"PUEYRREDÓN, HONORIO DR. AV. Y NEUQUEN",2018-06-26,9,10,1578,37,6,
LA PLATA AV. Y CHICLANA AV.,2018-08-15,19,20,2073,151,4,
