cruce,fecha,hora_inicio,hora_final,livianos,colectivos,pesados,observaciones
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,15,16,1680,118,7,
SAN BLAS Y IRIGOYEN,2018-05-29,9,10,857,4,7,
AV. ELCANO Y AV. TRIUNVIRATO,2018-06-06,17,18,1281,71,8,
CHACO Y DOBLAS,2018-08-16,8,9,532,0,1,
AV. ELCANO Y GUZMAN,2018-06-06,8,9,1536,143,7,
"GONZALEZ, ELIPIDIO Y IRIGOYEN",2018-05-29,15,16,1161,5,8,
EL MAESTRO Y CHACO,2018-08-16,9,10,817,0,0,
AV. GAONA Y GRAL. JOSÉ GERVASIO ARTIGAS,2018-05-23,17,18,3262,58,8,
SIMBRON Y VIRGILIO,2019-03-26,15,16,442,0,1,
AV. ELCANO Y AV. TRIUNVIRATO,2018-06-06,18,19,1284,74,3,
CHACO Y DOBLAS,2018-08-16,9,10,568,3,0,
"ACOYTE AV. Y ARANGUREN JUAN F., DR.",2018-06-26,9,10,1764,146,9,
SIMBRON Y IRIGOYEN,2018-05-29,15,16,1120,10,13,
SIMBRON Y VIRGILIO,2019-03-26,18,19,669,0,0,
"LACROZE, FEDERICO AV. Y AV. TRIUNVIRATO",2018-06-06,18,19,1349,305,5,
AV. ELCANO Y GUZMAN,2018-06-06,17,18,1893,156,10,
"LOZANO, PEDRO Y HUGO, VICTOR",2019-03-26,18,19,689,1,0,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-03-20,12,13,397,63,2,
LA PLATA AV. Y JUAN DE GARAY AV.,2018-08-09,9,10,3438,169,12,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-01-22,18,19,306,64,1,
NAZARRE Y CORTINA,2019-03-26,16,17,436,1,0,
SAN BLAS Y IRIGOYEN,2018-05-29,17,18,1573,1,7,
BOGOTA Y ACOYTE AV.,2018-06-27,17,18,234,0,0,
DORREGO AV. Y CASTILLO,2018-12-12,18,19,1152,24,1,
