DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
L Griveo,171,279900,17913600,1637,104758,64,SEGUNDO,VILLA PUEYRREDON,12
piran,123,345000,22080000,2805,179512,64,SEGUNDO,VILLA URQUIZA,12
Avda. Angel Gallardo 1000,185,900000,62550000,4865,338108,70,SEGUNDO,VILLA CRESPO,15
24 DE NOVIEMBRE 200,198,290000,19488000,1465,98424,67,SEGUNDO,BALVANERA,3
LOYOLA al 300,235,1000000,64000000,4255,272340,64,SEGUNDO,VILLA CRESPO,15
ENTRE RIOS 100,800,1200000,96000000,1500,120000,80,CUARTO,MONTSERRAT,1
"JUSTO, JUAN B.",441,650000,41600000,1474,94331,64,SEGUNDO,VILLA SANTA RITA,11
Malabia,240,1390000,93408000,5792,389200,67,SEGUNDO,PALERMO,14
Pasco,580,350000,24325000,603,41940,70,SEGUNDO,SAN CRISTOBAL,3
Pje Coligue,210,260000,16640000,1237,79148,64,SEGUNDO,VILLA REAL,10
Araujo al 100,134,460000,29440000,3433,219701,64,SEGUNDO,VILLA LURO,10
THAMES,1004,2500000,173750000,2490,173058,70,SEGUNDO,PALERMO,14
WARNES,241,789999,50559936,3278,209792,64,SEGUNDO,VILLA CRESPO,15
Benjamin Franklin,239,310000,20832000,1297,87163,67,SEGUNDO,CABALLITO,6
"CARRIL, SALVADOR MARIA DEL 3800",671,2000000,160000000,2981,238450,80,CUARTO,VILLA DEVOTO NORTE,11
Garay al 3100,123,250000,17375000,2033,141260,70,SEGUNDO,SAN CRISTOBAL,3
J Jufre,150,680000,47260000,4533,315067,70,SEGUNDO,VILLA CRESPO,15
"MISTRAL, GABRIELA",103,119000,7616000,1155,73942,64,SEGUNDO,VILLA PUEYRREDON,12
Venezuela,287,440000,29568000,1533,103024,67,SEGUNDO,BALVANERA,3
PASCO 700,324,810000,51637500,2500,159375,64,TERCER,BALVANERA,3
PEDRO ECHAGUE,290,430000,28896000,1483,99641,67,SEGUNDO,CONSTITUCION,1
RIVADAVIA 7200,1124,5500000,440000000,4893,391459,80,CUARTO,FLORES NORTE,7
SAENZ 156,891,3100000,248000000,3479,278339,80,CUARTO,NUEVA POMPEYA,4
