,DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
958,"PUEYRREDON, HONORIO, DR.",73,738000,47232000,10110,647014,64,SEGUNDO,CABALLITO,6
1184,VERA 100,205,810000,51637500,3951,251890,64,PRIMER,VILLA CRESPO,15
7942,Sor Juana Ines de la Cruz,336,330000,22176000,982,66000,67,SEGUNDO,CABALLITO,6
996,LOYOLA 1415,750,400000,25500000,533,34000,64,PRIMER,CHACARITA,15
1297,NAVARRO,526,990000,63360000,1882,120456,64,SEGUNDO,VILLA DEVOTO NORTE,11
8233,Av Scalabrini Ortiz,364,1500000,100800000,4121,276923,67,SEGUNDO,VILLA CRESPO,15
1412,"EINSTEIN, ALBERTO 400",2013,1000000,63750000,497,31669,64,PRIMER,NUEVA POMPEYA,4
10289,"ALVAREZ, DONATO, Tte. Gral. 300",2500,1200000,76500000,480,30600,64,TERCER,FLORES NORTE,7
270,ARIAS 3200,147,240000,19200000,1633,130612,80,CUARTO,SAAVEDRA,12
6843,Olazabal,407,1520000,105640000,3735,259558,70,SEGUNDO,VILLA URQUIZA,12
9569,Directorio al 3700,613,1100000,73920000,1794,120587,67,SEGUNDO,PARQUE AVELLANEDA,9
3476,Concordia al 3800,291,520000,33280000,1787,114364,64,SEGUNDO,VILLA DEVOTO NORTE,11
4542,Quintino Bocayuva,248,580000,40310000,2339,162540,70,SEGUNDO,ALMAGRO,5
5345,CASTILLO,230,570000,39615000,2478,172239,70,SEGUNDO,CHACARITA,15
8569,Ezeiza,175,290000,19488000,1657,111360,67,SEGUNDO,VILLA PUEYRREDON,12
7367,Belgrano al 800,1720,7800000,524160000,4535,304744,67,SEGUNDO,MONTSERRAT,1
9067,Jose I Larraya,500,490000,32928000,980,65856,67,SEGUNDO,MATADEROS,9
4775,24 de Noviembre,211,418000,29051000,1981,137682,70,SEGUNDO,SAN CRISTOBAL,3
2240,Crisologo Larralde al 1800,192,400000,25600000,2083,133333,64,SEGUNDO,NUÑEZ,13
6667,Av C Forest,198,900000,62550000,4545,315909,70,SEGUNDO,VILLA ORTUZAR,15
5396,Av San Martin,263,850000,59075000,3232,224620,70,SEGUNDO,PATERNAL,15
1519,SAN NICOLAS 1100,344,390000,24862500,1134,72275,64,PRIMER,VILLA SANTA RITA,11
9596,Santander,197,280000,18816000,1421,95513,67,SEGUNDO,PARQUE AVELLANEDA,9
2528,Malvinas Argentinas al al 100,246,1280000,81920000,5203,333008,64,SEGUNDO,CABALLITO,6
7935,Rio de Janeiro,381,650000,43680000,1706,114646,67,SEGUNDO,CABALLITO,6
3232,14 De Julio,350,550000,35200000,1571,100571,64,SEGUNDO,VILLA ORTUZAR,15
7371,"Chile al 300, San Telmo - Doble frente",221,868000,58329600,3928,263935,67,SEGUNDO,MONTSERRAT,1
4802,Humberto I,376,390000,27105000,1037,72088,70,SEGUNDO,SAN CRISTOBAL,3
1230,FRAGA,335,625000,40000000,1866,119403,64,SEGUNDO,VILLA ORTUZAR,15
2856,Pico,364,600000,38400000,1648,105495,64,SEGUNDO,SAAVEDRA,12
7612,Olleros al 3200,200,595000,39984000,2975,199920,67,SEGUNDO,COLEGIALES,13
6447,Thames,357,790000,54905000,2213,153796,70,SEGUNDO,VILLA CRESPO,15
359,"MISTRAL, GABRIELA 3299",108,199000,15920000,1843,147407,80,CUARTO,VILLA PUEYRREDON,12
1235,HEREDIA,269,720000,46080000,2677,171301,64,SEGUNDO,VILLA ORTUZAR,15
9154,Pje Canada,216,450000,30240000,2083,140000,67,SEGUNDO,MONTE CASTRO,10
8590,Vallejos,207,280000,18816000,1353,90899,67,SEGUNDO,VILLA PUEYRREDON,12
5847,Manuel Artigas,400,550000,38225000,1375,95562,70,SEGUNDO,MATADEROS,9
800,MONROE 3423,298,270000,17212500,906,57760,64,PRIMER,COGHLAN,12
1807,Lavalle 1900,446,1950000,124800000,4372,279821,64,SEGUNDO,BALVANERA,3
8441,Pedro Lozano,561,1770000,118944000,3155,212021,67,SEGUNDO,VILLA DEL PARQUE,11
9297,Mozart,171,300000,20160000,1754,117895,67,SEGUNDO,VELEZ SARSFIELD,10
7799,Rep De Honduras,140,875000,58800000,6250,420000,67,SEGUNDO,PALERMO,14
681,LAVALLE 3100,334,1250000,79687500,3743,238585,64,PRIMER,BALVANERA,3
5146,Darregueyra al 2200,152,1000000,69500000,6579,457237,70,SEGUNDO,PALERMO,14
9535,Defensa,330,950000,63840000,2879,193455,67,SEGUNDO,BARRACAS ESTE,4
3061,Llavallol,153,590000,37760000,3856,246797,64,SEGUNDO,VILLA DEL PARQUE,11
7432,Humberto Primo al 3000,700,700000,47040000,1000,67200,67,SEGUNDO,SAN CRISTOBAL,3
10079,DONADO,197,390000,24960000,1980,126700,64,SEGUNDO,VILLA URQUIZA,12
7232,Avda.Entre Ríos 1056,504,1380000,92736000,2738,184000,67,SEGUNDO,BALVANERA,3
7554,Rivera al 2700,127,680000,45696000,5354,359811,67,SEGUNDO,BELGRANO,13
1635,J Salguero,652,730000,46720000,1120,71656,64,SEGUNDO,ALMAGRO,5
9274,Av Rivadavia,217,675000,45360000,3111,209032,67,SEGUNDO,VELEZ SARSFIELD,10
5648,Castro Barros al 700,264,900000,62550000,3409,236932,70,SEGUNDO,BOEDO,5
6818,Combatientes De Malvinas,125,320000,22240000,2560,177920,70,SEGUNDO,VILLA URQUIZA,12
