DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
Av. Gral Paz,199,350000,24325000,1759,122236,70,SEGUNDO,MATADEROS,9
Uriarte,215,620000,41664000,2884,193786,67,SEGUNDO,VILLA CRESPO,15
Concordia,506,500000,33600000,988,66403,67,SEGUNDO,VILLA SANTA RITA,11
Medrano,912,4200000,282240000,4605,309474,67,SEGUNDO,PALERMO,14
Besares,175,900000,60480000,5133,344930,67,SEGUNDO,NUÑEZ,13
Franklin entre Espinosa y Pujol,673,690000,46368000,1025,68897,67,SEGUNDO,CABALLITO,6
Llavallol,153,590000,37760000,3856,246797,64,SEGUNDO,VILLA DEL PARQUE,11
Av De Los Constituyentes,256,350000,22400000,1367,87500,64,SEGUNDO,VILLA PUEYRREDON,12
ZAPIOLA,789,2400000,161280000,3042,204411,67,SEGUNDO,COLEGIALES,13
Roseti 2055,368,380000,25536000,1033,69391,67,SEGUNDO,VILLA ORTUZAR,15
MELIAN 3500,1400,1000000,63750000,714,45536,64,PRIMER,COGHLAN,12
SUPERI,292,650000,41600000,2226,142466,64,SEGUNDO,COGHLAN,12
DARWIN,507,450000,28800000,888,56805,64,SEGUNDO,PALERMO,14
LAVALLE,302,1900000,121600000,6291,402649,64,SEGUNDO,SAN NICOLAS,1
GOYA,211,330000,21120000,1564,100095,64,SEGUNDO,VELEZ SARSFIELD,10
RIVADAVIA,247,385000,25872000,1559,104745,67,SEGUNDO,LINIERS,9
Mexico,152,300000,19200000,1974,126316,64,SEGUNDO,ALMAGRO,5
DONADO al 3700,290,360000,23040000,1241,79448,64,SEGUNDO,SAAVEDRA,12
"VIRASORO, VALENTIN 1900",183,260000,20800000,1421,113661,80,CUARTO,VILLA CRESPO,15
QUESADA,119,260000,17472000,2185,146824,67,SEGUNDO,VILLA URQUIZA,12
Trelles 1200,437,448000,30105600,1025,68892,67,SEGUNDO,VILLA GRAL. MITRE,11
Palestina,325,690000,44160000,2123,135877,64,SEGUNDO,ALMAGRO,5
D Paroissien,149,750000,50400000,5034,338255,67,SEGUNDO,VILLA CRESPO,15
Adolfo P Carranza,164,330000,22176000,2012,135220,67,SEGUNDO,VILLA DEL PARQUE,11
Honorio Pueyrredón 400,294,1650000,110880000,5612,377143,67,SEGUNDO,CABALLITO,6
VENEZUELA 4067,250,305000,24400000,1220,97600,80,CUARTO,ALMAGRO,5
Pareja,450,350000,22400000,778,49778,64,SEGUNDO,VILLA PUEYRREDON,12
Sarmiento al 700,594,2300000,154560000,3872,260202,67,SEGUNDO,SAN NICOLAS,1
Arregui,1333,1100000,70400000,825,52813,64,SEGUNDO,MONTE CASTRO,10
PUAN,77,68000,4352000,883,56519,64,SEGUNDO,PARQUE CHACABUCO,7
I Pieres,261,290000,18560000,1111,71111,64,SEGUNDO,LINIERS,9
HOMERO,224,400000,27800000,1786,124107,70,SEGUNDO,VILLA LURO,10
Olleros al 3200,200,595000,38080000,2975,190400,64,SEGUNDO,COLEGIALES,13
Patagones,448,800000,53760000,1784,119893,67,SEGUNDO,PARQUE PATRICIOS,4
