DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
Costa Rica 4400,280,800000,51200000,2857,182857,64,SEGUNDO,PALERMO,14
DIAZ VELEZ,269,1000000,64000000,3717,237918,64,SEGUNDO,ALMAGRO,5
MEDRANO,257,670000,42880000,2607,166848,64,SEGUNDO,PALERMO,14
BOLIVAR,690,950000,66025000,1377,95688,70,SEGUNDO,SAN TELMO,1
Av Gaona,189,600000,40320000,3175,213333,67,SEGUNDO,FLORESTA,10
TERRADA 3500,371,450000,28687500,1213,77325,64,TERCER,AGRONOMIA,15
AGUILAR 2400,338,2300000,146625000,6805,433802,64,PRIMER,PALERMO,14
J Llerena,130,270000,18765000,2077,144346,70,SEGUNDO,PARQUE CHAS,15
CAMPILLO,362,500000,32000000,1381,88398,64,SEGUNDO,PARQUE CHAS,15
Av. Juan B. Justo,424,439900,28153600,1038,66400,64,SEGUNDO,VILLA LURO,10
RINCON,510,800000,51200000,1569,100392,64,SEGUNDO,BALVANERA,3
Cochabamba al 3300,85,260000,16640000,3059,195765,64,SEGUNDO,BOEDO,5
QUESADA,465,580000,37120000,1247,79828,64,SEGUNDO,VILLA URQUIZA,12
Lavalle 2004/6/8 Y Ayacucho 494/6,271,1000000,67200000,3690,247970,67,SEGUNDO,BALVANERA,3
Fructuoso Rivera,346,195000,12480000,564,36069,64,SEGUNDO,NUEVA POMPEYA,4
Julian Alvarez,650,2180000,151510000,3354,233092,70,SEGUNDO,VILLA CRESPO,15
AV CHORROARIN 700,353,620000,43090000,1756,122068,70,SEGUNDO,VILLA ORTUZAR,15
SARANDI,192,570000,36480000,2969,190000,64,SEGUNDO,BALVANERA,3
Cramer,1200,2900000,201550000,2417,167958,70,SEGUNDO,BELGRANO,13
"ALVAREZ, THOMAS 1700",150,600000,48000000,4000,320000,80,CUARTO,VILLA ORTUZAR,15
AVALOS,260,625000,40000000,2404,153846,64,SEGUNDO,PARQUE CHAS,15
Arenales,383,2350000,163325000,6136,426436,70,SEGUNDO,RECOLETA,2
Carabobo,828,730000,49056000,882,59246,67,SEGUNDO,CABALLITO,6
Jufre,10110,6500000,451750000,643,44683,70,SEGUNDO,VILLA CRESPO,15
HUMBERTO 1? 1700,370,550000,35062500,1486,94764,64,PRIMER,CONSTITUCION,1
CORDOBA 800,280,3200000,256000000,11429,914286,80,CUARTO,SAN NICOLAS,1
Palestina,190,650000,43680000,3421,229895,67,SEGUNDO,PALERMO,14
"PEREZ, ROQUE 2900",210,420000,26775000,2000,127500,64,TERCER,COGHLAN,12
Av. Directorio,100,480000,33360000,4800,333600,70,SEGUNDO,FLORES NORTE,7
"BONIFACIO, JOSE 2300",167,430000,27412500,2575,164147,64,PRIMER,FLORES NORTE,7
Crisologo Larralde,300,530000,36835000,1767,122783,70,SEGUNDO,SAAVEDRA,12
"JUSTO, JUAN B. 2000",121,590000,47200000,4876,390083,80,CUARTO,VILLA CRESPO,15
CHICLANA,1225,1300000,83200000,1061,67918,64,SEGUNDO,NUEVA POMPEYA,4
Olazábal,184,810000,51840000,4402,281739,64,SEGUNDO,BELGRANO,13
NAZCA,123,400000,25600000,3252,208130,64,SEGUNDO,AGRONOMIA,15
VIRREY LINIERS 500,181,290000,18560000,1602,102541,64,SEGUNDO,ALMAGRO,5
Concordia,506,500000,32000000,988,63241,64,SEGUNDO,VILLA SANTA RITA,11
Diogenes Taborda 600,292,110000,7645000,377,26182,70,SEGUNDO,PARQUE PATRICIOS,4
CATULO CASTILLO,970,2500000,160000000,2577,164948,64,SEGUNDO,PARQUE PATRICIOS,4
MONROE 3423,298,270000,17212500,906,57760,64,PRIMER,COGHLAN,12
La Pampa al 3700,476,1100000,76450000,2311,160609,70,SEGUNDO,BELGRANO,13
PILAR,329,400000,26880000,1216,81702,67,SEGUNDO,LINIERS,9
Moliere,225,280000,18816000,1244,83627,67,SEGUNDO,VILLA REAL,10
CHARLONE,302,1100000,70400000,3642,233113,64,SEGUNDO,VILLA ORTUZAR,15
CASTILLO,177,530000,35616000,2994,201220,67,SEGUNDO,CHACARITA,15
Tomás Le Breton,254,759000,48576000,2988,191244,64,SEGUNDO,VILLA URQUIZA,12
Abraham J Luppi,175,148000,10286000,846,58777,70,SEGUNDO,NUEVA POMPEYA,4
A Pacheco,150,450000,31275000,3000,208500,70,SEGUNDO,VILLA URQUIZA,12
BOLIVAR 652,449,550000,44000000,1225,97996,80,CUARTO,MONTSERRAT,1
Humberto 1º al 1700,370,550000,36960000,1486,99892,67,SEGUNDO,CONSTITUCION,1
MAZA 2000,162,190000,15200000,1173,93827,80,CUARTO,BOEDO,5
Camarones,465,690000,44160000,1484,94968,64,SEGUNDO,VILLA SANTA RITA,11
Montañeses,240,1100000,73920000,4583,308000,67,SEGUNDO,BELGRANO,13
