DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
CATAMARCA 500,200,295000,18806250,1475,94031,64,TERCER,BALVANERA,3
Ituzaingo al 800,1100,1450000,97440000,1318,88582,67,SEGUNDO,BARRACAS ESTE,4
FITZ ROY,237,1190000,76160000,5021,321350,64,SEGUNDO,PALERMO,14
Av Argentina,277,185000,11840000,668,42744,64,SEGUNDO,VILLA LUGANO,8
CONSTITUYENTES,252,590000,39648000,2341,157333,67,SEGUNDO,AGRONOMIA,15
Mercedes  al 2200,4233,6000000,403200000,1417,95252,67,SEGUNDO,MONTE CASTRO,10
SARMIENTO Y PRINGLES,2539,1200000,76800000,473,30248,64,SEGUNDO,ALMAGRO,5
Marcos Paz,1200,1650000,114675000,1375,95562,70,SEGUNDO,MONTE CASTRO,10
Yerbal 6300,220,269000,18076800,1223,82167,67,SEGUNDO,LINIERS,9
Hipolito Yrigoyen al 1800,1012,4100000,284950000,4051,281571,70,SEGUNDO,BALVANERA,3
Pringles y Av. Cordoba,273,900000,57600000,3297,210989,64,SEGUNDO,PALERMO,14
San Martin,263,850000,54400000,3232,206844,64,SEGUNDO,PATERNAL,15
AMENABAR 100,240,645000,51600000,2688,215000,80,CUARTO,PALERMO,14
Humberto Primo al 1700,379,850000,54400000,2243,143536,64,SEGUNDO,CONSTITUCION,1
Luzuriaga,144,120000,8340000,833,57917,70,SEGUNDO,BARRACAS ESTE,4
Suarez,260,170000,10880000,654,41846,64,SEGUNDO,BOCA,4
CASTILLO,177,530000,36835000,2994,208107,70,SEGUNDO,CHACARITA,15
Araujo al 100,134,460000,29440000,3433,219701,64,SEGUNDO,VILLA LURO,10
Palos,530,390000,27105000,736,51142,70,SEGUNDO,BOCA,4
VERA 1200,181,465000,37200000,2569,205525,80,CUARTO,VILLA CRESPO,15
Constituyentes,752,820000,55104000,1090,73277,67,SEGUNDO,VILLA URQUIZA,12
Echeverría 2700,171,990000,63360000,5789,370526,64,SEGUNDO,BELGRANO,13
"THAMES .""A 100 mts de av.CORRIENTES""",1065,590000,41005000,554,38502,70,SEGUNDO,VILLA CRESPO,15
"JUSTO, JUAN B.",250,1150000,73600000,4600,294400,64,SEGUNDO,VILLA CRESPO,15
MIRO Y AV. ALBERDI,1050,582500,39144000,555,37280,67,SEGUNDO,CABALLITO,6
SORIA 4900,277,580000,46400000,2094,167509,80,CUARTO,PALERMO,14
Chiclana Av.,375,485000,33707500,1293,89887,70,SEGUNDO,BOEDO,5
Quesada,263,1250000,80000000,4753,304183,64,SEGUNDO,NUÑEZ,13
AVALOS,167,375000,24000000,2246,143713,64,SEGUNDO,PARQUE CHAS,15
Dr F De Zuviria,328,180000,12096000,549,36878,67,SEGUNDO,VILLA LUGANO,8
"LARRALDE, CRISOLOGO 2200",320,730000,46537500,2281,145430,64,PRIMER,NUÑEZ,13
Esteban A Gascon,146,700000,44800000,4795,306849,64,SEGUNDO,PALERMO,14
ELCANO 4700,225,260000,16575000,1156,73667,64,PRIMER,PATERNAL,15
ALBERDI AV.,418,750000,52125000,1794,124701,70,SEGUNDO,MATADEROS,9
Libertad,480,1700000,108800000,3542,226667,64,SEGUNDO,SAN NICOLAS,1
"ALVAREZ, DONATO, Tte. Gral. 300",2500,1200000,76500000,480,30600,64,TERCER,FLORES NORTE,7
El Maestro,202,300000,20160000,1488,100000,67,SEGUNDO,CABALLITO,6
Cochabamba al 3300,250,250000,16800000,1000,67200,67,SEGUNDO,BOEDO,5
Loyola al 1500,393,850000,59075000,2163,150318,70,SEGUNDO,CHACARITA,15
LAVALLEJA,2400,1290000,82560000,538,34400,64,SEGUNDO,PALERMO,14
Bartolomé Mitre al 4200,600,2490000,167328000,4150,278880,67,SEGUNDO,ALMAGRO,5
Av Belgrano 3189,220,490000,34055000,2227,154795,70,SEGUNDO,BALVANERA,3
TERRADA,430,398000,25472000,926,59237,64,SEGUNDO,VILLA DEL PARQUE,11
AGUIRRE,107,485000,31040000,4533,290093,64,SEGUNDO,VILLA CRESPO,15
Montiel,160,225000,15637500,1406,97734,70,SEGUNDO,MATADEROS,9
COCHABAMBA,261,550000,36960000,2107,141609,67,SEGUNDO,BOEDO,5
Ciudad de la Paz al 200,580,2400000,166800000,4138,287586,70,SEGUNDO,PALERMO,14
ZARRAGA 3800,260,800000,51000000,3077,196154,64,TERCER,VILLA ORTUZAR,15
ACHEGA,428,416000,26624000,972,62206,64,SEGUNDO,VILLA URQUIZA,12
MANZANARES 3100,171,400000,32000000,2339,187134,80,CUARTO,SAAVEDRA,12
ACEVEDO,241,355000,22720000,1473,94274,64,SEGUNDO,VILLA CRESPO,15
EDUARDO ACEVEDO 80,195,900000,60480000,4615,310154,67,SEGUNDO,CABALLITO,6
"JUSTO, JUAN B. 1700",127,950000,60562500,7480,476870,64,TERCER,PALERMO,14
MARTINEZ ROSAS 1300,97,205000,16400000,2113,169072,80,CUARTO,VILLA CRESPO,15
Ricardo Gutierrez,240,290000,18560000,1208,77333,64,SEGUNDO,VILLA CRESPO,15
San Jose,257,400000,27800000,1556,108171,70,SEGUNDO,CONSTITUCION,1
