DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
Av Dr R Balbin,373,1050000,70560000,2815,189169,67,SEGUNDO,COGHLAN,12
Av Congreso,1470,950000,66025000,646,44915,70,SEGUNDO,VILLA URQUIZA,12
CORRIENTES,935,2350000,150400000,2513,160856,64,SEGUNDO,VILLA CRESPO,15
Arregui,196,345000,23184000,1760,118286,67,SEGUNDO,VILLA DEL PARQUE,11
Camarones,464,670000,46565000,1444,100356,70,SEGUNDO,VILLA SANTA RITA,11
Av. Escalada 4300,13200,5000000,347500000,379,26326,70,SEGUNDO,VILLA LUGANO,8
ZAVALETA 200,201,210000,16800000,1045,83582,80,CUARTO,PARQUE PATRICIOS,4
Neuquen 1900,128,485000,32592000,3789,254625,67,SEGUNDO,FLORES NORTE,7
EMILIO MITRE,237,890000,56960000,3755,240338,64,SEGUNDO,CABALLITO,6
ELCANO 5000,119,175000,11156250,1471,93750,64,TERCER,PATERNAL,15
DEAN FUNES,554,980000,65856000,1769,118874,67,SEGUNDO,PARQUE PATRICIOS,4
CORDOBA 6400,294,1360000,86700000,4626,294898,64,PRIMER,CHACARITA,15
JUAN B JUSTO,480,1200000,80640000,2500,168000,67,SEGUNDO,VILLA SANTA RITA,11
Ciudad de la Paz,420,1800000,120960000,4286,288000,67,SEGUNDO,COLEGIALES,13
Julian Alvarez,650,2180000,146496000,3354,225378,67,SEGUNDO,VILLA CRESPO,15
Chile 2953 (D. Funes - La Rioja),256,630000,40320000,2461,157500,64,SEGUNDO,BALVANERA,3
MEXICO al 1500,202,800000,53760000,3960,266139,67,SEGUNDO,MONTSERRAT,1
ESMERALDA,332,2100000,134400000,6325,404819,64,SEGUNDO,SAN NICOLAS,1
BRASIL 1500,256,520000,36140000,2031,141172,70,SEGUNDO,CONSTITUCION,1
LEIVA 4600,150,220000,17600000,1467,117333,80,CUARTO,CHACARITA,15
Juan Domingo Peron,1047,950000,66025000,907,63061,70,SEGUNDO,ALMAGRO,5
Tamborini 4086 | USAB2,316,780000,52416000,2468,165873,67,SEGUNDO,COGHLAN,12
Tronador,716,850000,59075000,1187,82507,70,SEGUNDO,COGHLAN,12
CHILE 2400,314,420000,26775000,1338,85271,64,TERCER,BALVANERA,3
YERBAL 3700,1879,2250000,180000000,1197,95796,80,CUARTO,FLORESTA,10
Bdier Gral J Zapiola,317,1100000,70400000,3470,222082,64,SEGUNDO,COGHLAN,12
Tonelero,255,260000,16640000,1020,65255,64,SEGUNDO,LINIERS,9
Av. Lope De Vega,241,600000,41700000,2490,173029,70,SEGUNDO,VILLA DEVOTO SUR,11
Humboldt,200,411000,26304000,2055,131520,64,SEGUNDO,CHACARITA,15
Gral Paz,255,1350000,90720000,5294,355765,67,SEGUNDO,SAAVEDRA,12
SAN NICOLAS,398,399000,25536000,1003,64161,64,SEGUNDO,VILLA DEL PARQUE,11
OLIDEN 4279,254,219000,17520000,862,68976,80,CUARTO,VILLA LUGANO,8
ESCALADA,231,290000,18560000,1255,80346,64,SEGUNDO,PARQUE AVELLANEDA,9
