DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
Av Lisandro de la Torre,197,310000,21545000,1574,109365,70,SEGUNDO,LINIERS,9
Tinogasta,470,580000,40310000,1234,85766,70,SEGUNDO,VILLA DEVOTO SUR,11
Av. Triunvirato,1125,3000000,192000000,2667,170667,64,SEGUNDO,VILLA ORTUZAR,15
Catamarca,179,290000,20155000,1620,112598,70,SEGUNDO,SAN CRISTOBAL,3
CORDOBA,365,990000,63360000,2712,173589,64,SEGUNDO,PALERMO,14
PEDRO RIVERA,377,550000,38225000,1459,101414,70,SEGUNDO,COGHLAN,12
"COGHLAN, JUAN M. 4748",176,200000,16000000,1136,90909,80,CUARTO,VILLA DEVOTO SUR,11
Dr L Belaustegui,531,680000,45696000,1281,86052,67,SEGUNDO,VELEZ SARSFIELD,10
"OLIVERA, AV.",298,320000,20480000,1074,68725,64,SEGUNDO,VELEZ SARSFIELD,10
Cabrera,278,1190000,79968000,4281,287655,67,SEGUNDO,RECOLETA,2
Mariano Acosta al 400,171,199000,13830500,1164,80880,70,SEGUNDO,FLORESTA,10
Casro Barrros 1300,300,310000,19840000,1033,66133,64,SEGUNDO,BOEDO,5
RINCON,510,800000,51200000,1569,100392,64,SEGUNDO,BALVANERA,3
Zañartù,151,130000,9035000,861,59834,70,SEGUNDO,PARQUE CHACABUCO,7
SOMELLERA 909,146,145000,11600000,993,79452,80,CUARTO,NUEVA POMPEYA,4
Besares al 3900,546,590000,37760000,1081,69158,64,SEGUNDO,SAAVEDRA,12
THOMPSON,2253,1300000,83200000,577,36929,64,SEGUNDO,CABALLITO,6
Av. Franklin Roosevelt al 5600,263,890000,61855000,3384,235190,70,SEGUNDO,VILLA URQUIZA,12
Cnel R L Falcon,470,350000,23520000,745,50043,67,SEGUNDO,VILLA LURO,10
LOYOLA 1500,393,850000,54187500,2163,137882,64,TERCER,CHACARITA,15
Pichincha al 2100,200,650000,41600000,3250,208000,64,SEGUNDO,PARQUE PATRICIOS,4
NAZCA al 1900,275,995000,69152500,3618,251464,70,SEGUNDO,VILLA SANTA RITA,11
Av. Juan Bautista Alberdi al 300,338,1280000,81920000,3787,242367,64,SEGUNDO,CABALLITO,6
Cochabamba 4200,560,300000,20160000,536,36000,67,SEGUNDO,BOEDO,5
POLA,352,630000,43785000,1790,124389,70,SEGUNDO,LINIERS,9
CORRIENTES,450,2000000,128000000,4444,284444,64,SEGUNDO,VILLA CRESPO,15
