DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
Concordia al 3800,291,520000,33280000,1787,114364,64,SEGUNDO,VILLA DEVOTO NORTE,11
F Doblas,276,1450000,97440000,5256,353235,67,SEGUNDO,CABALLITO,6
L Griveo,171,279900,17913600,1637,104758,64,SEGUNDO,VILLA PUEYRREDON,12
Tapalque,158,159000,11050500,1006,69940,70,SEGUNDO,MATADEROS,9
Pedernera,561,1300000,90350000,2317,161052,70,SEGUNDO,FLORES NORTE,7
Cabrera,127,699000,46972800,5504,369865,67,SEGUNDO,PALERMO,14
"ACUﾃ植 DE FIGUEROA, FRANCISCO",244,730000,46720000,2992,191475,64,SEGUNDO,PALERMO,14
Humberto Primo,425,750000,48000000,1765,112941,64,SEGUNDO,CONSTITUCION,1
TEODORO VILARDEBO,210,360000,23040000,1714,109714,64,SEGUNDO,VILLA DEL PARQUE,11
ECHEVERRIA 2800,825,5900000,376125000,7152,455909,64,PRIMER,BELGRANO,13
CORRIENTES 3400,1295,12000000,960000000,9266,741313,80,CUARTO,BALVANERA,3
"BALBIN, RICARDO, DR. 3600",433,3300000,210375000,7621,485854,64,TERCER,SAAVEDRA,12
"Vallese, Felipe",106,320000,21504000,3019,202868,67,SEGUNDO,CABALLITO,6
Juan Bautista Alberdi 4200,470,799900,51193600,1702,108923,64,SEGUNDO,VELEZ SARSFIELD,10
Patagones,448,800000,55600000,1784,123996,70,SEGUNDO,PARQUE PATRICIOS,4
"CARRIL, SALVADOR MARIA DEL",600,950000,60800000,1583,101333,64,SEGUNDO,VILLA DEVOTO NORTE,11
Marcos Paz al 1800,253,399900,26873280,1581,106218,67,SEGUNDO,MONTE CASTRO,10
Angel Justiniano Carranza,135,710000,47712000,5259,353422,67,SEGUNDO,PALERMO,14
Pareja,242,300000,20160000,1240,83306,67,SEGUNDO,VILLA PUEYRREDON,12
Suarez,260,170000,11424000,654,43938,67,SEGUNDO,BOCA,4
RUIZ HUIDOBRO,1563,4950000,344025000,3167,220106,70,SEGUNDO,SAAVEDRA,12
LAVALLEJA,200,730000,50735000,3650,253675,70,SEGUNDO,VILLA CRESPO,15
Av. Colonia,225,350000,22400000,1556,99556,64,SEGUNDO,PARQUE PATRICIOS,4
GIRIBONE 800,350,700000,44625000,2000,127500,64,PRIMER,CHACARITA,15
Guevara al 1300,370,500000,34750000,1351,93919,70,SEGUNDO,VILLA ORTUZAR,15
