DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
"ACUﾃ植 DE FIGUEROA, FRANCISCO",244,730000,46720000,2992,191475,64,SEGUNDO,PALERMO,14
Directorio,249,599000,41630500,2406,167191,70,SEGUNDO,PARQUE AVELLANEDA,9
Av. Juan B. Justo al 6200,640,1100000,73920000,1719,115500,67,SEGUNDO,VILLA SANTA RITA,11
Olazabal,407,1520000,105640000,3735,259558,70,SEGUNDO,VILLA URQUIZA,12
HUMBOLDT,367,550000,35200000,1499,95913,64,SEGUNDO,VILLA CRESPO,15
BUCARELLI al 2700,420,1190000,76160000,2833,181333,64,SEGUNDO,VILLA URQUIZA,12
Charlone,333,600000,40320000,1802,121081,67,SEGUNDO,CHACARITA,15
San Juan Av.,340,1200000,76800000,3529,225882,64,SEGUNDO,BOEDO,5
PACHECO,199,395000,25280000,1985,127035,64,SEGUNDO,VILLA URQUIZA,12
LANIN 100,224,260000,16575000,1161,73996,64,PRIMER,BARRACAS ESTE,4
TRES SARGENTOS 300,476,1450000,116000000,3046,243698,80,CUARTO,RETIRO,1
BAHIA BLANCA al 2300,380,490000,32928000,1289,86653,67,SEGUNDO,MONTE CASTRO,10
FRAGA,335,625000,40000000,1866,119403,64,SEGUNDO,VILLA ORTUZAR,15
BERON DE ASTRADA,9969,4650000,297600000,466,29853,64,SEGUNDO,VILLA SOLDATI,8
Francisco Bilbao,1069,950000,63840000,889,59719,67,SEGUNDO,PARQUE AVELLANEDA,9
San Antonio,267,220000,15290000,824,57266,70,SEGUNDO,BARRACAS ESTE,4
Dr S Segurola,770,2000000,134400000,2598,174600,67,SEGUNDO,MONTE CASTRO,10
Cramer,1200,2900000,185600000,2417,154667,64,SEGUNDO,BELGRANO,13
Neuquen 1900,128,485000,31040000,3789,242500,64,SEGUNDO,FLORES NORTE,7
ROJAS 400,165,300000,24000000,1818,145454,80,CUARTO,CABALLITO,6
Billinghurst,277,1600000,102400000,5783,370143,64,SEGUNDO,RECOLETA,2
CULPINA 100,269,435000,27731250,1617,103090,64,TERCER,FLORES NORTE,7
Abraham J Luppi,175,148000,9945600,846,56832,67,SEGUNDO,NUEVA POMPEYA,4
Juan Agustin Maza,98,210000,13440000,2143,137143,64,SEGUNDO,BOEDO,5
Cucha Cucha,370,500000,32000000,1351,86486,64,SEGUNDO,CABALLITO,6
Jose I Larraya,500,490000,32928000,980,65856,67,SEGUNDO,MATADEROS,9
Magallanes,207,150001,10080067,725,48696,67,SEGUNDO,BOCA,4
Pepiri 1100,300,180000,11520000,600,38400,64,SEGUNDO,NUEVA POMPEYA,4
General Hornos al 1300,3300,9000000,604800000,2727,183273,67,SEGUNDO,BARRACAS ESTE,4
Tucuman,1471,3600000,230400000,2447,156628,64,SEGUNDO,BALVANERA,3
ALVAREZ THOMAS,410,950000,63840000,2317,155707,67,SEGUNDO,VILLA URQUIZA,12
Medeyros 3500,410,499000,34680500,1217,84587,70,SEGUNDO,VILLA URQUIZA,12
BACACAY,440,550000,38225000,1250,86875,70,SEGUNDO,FLORESTA,10
Sarmiento al 3000,133,350000,23520000,2632,176842,67,SEGUNDO,BALVANERA,3
Gral Cesar Diaz,115,320000,22240000,2783,193391,70,SEGUNDO,VILLA SANTA RITA,11
Dr F De Zuviria,328,180000,12510000,549,38140,70,SEGUNDO,VILLA LUGANO,8
Mendoza,373,1900000,127680000,5094,342306,67,SEGUNDO,VILLA URQUIZA,12
MANZANARES 3100,171,400000,32000000,2339,187134,80,CUARTO,SAAVEDRA,12
NICOLAS REPETTO 1300,508,1500000,104250000,2953,205217,70,SEGUNDO,CABALLITO,6
