DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
Moliere,240,285000,18240000,1188,76000,64,SEGUNDO,VILLA LURO,10
Baradero,210,359000,22976000,1710,109410,64,SEGUNDO,FLORESTA,10
HUMBOLDT al 1400,81,490000,34055000,6049,420432,70,SEGUNDO,PALERMO,14
Consultar dirección,365,649000,41536000,1778,113797,64,SEGUNDO,PATERNAL,15
ECHEVERRIA,168,990000,66528000,5893,396000,67,SEGUNDO,BELGRANO,13
PIEDRAS 157,1090,3600000,229500000,3303,210550,64,PRIMER,MONTSERRAT,1
Serrano entre Ramirez de Velasco   y Aguirre,524,800000,51200000,1527,97710,64,SEGUNDO,VILLA CRESPO,15
Nazca,467,790000,50560000,1692,108266,64,SEGUNDO,VILLA DEL PARQUE,11
URIARTE,215,610000,39040000,2837,181581,64,SEGUNDO,VILLA CRESPO,15
CORDOBA,472,1500000,96000000,3178,203390,64,SEGUNDO,CHACARITA,15
GUEVARA,188,550000,38225000,2926,203324,70,SEGUNDO,CHACARITA,15
Ricardo Gutierrez,229,235000,16332500,1026,71321,70,SEGUNDO,VILLA DEL PARQUE,11
Dean Funes,500,1400000,94080000,2800,188160,67,SEGUNDO,SAN CRISTOBAL,3
Manuel Artigas,398,590000,41005000,1482,103028,70,SEGUNDO,MATADEROS,9
ALBERDI JUAN BAUTISTA AV.,346,520000,33280000,1503,96185,64,SEGUNDO,VELEZ SARSFIELD,10
Juramento,420,1830000,117120000,4357,278857,64,SEGUNDO,BELGRANO,13
LAVALLE 2004,271,1000000,63750000,3690,235240,64,PRIMER,BALVANERA,3
"BRASIL, AV. 1373/1300",233,1100000,70400000,4721,302146,64,SEGUNDO,CONSTITUCION,1
Bolivia,224,240000,15360000,1071,68571,64,SEGUNDO,VILLA GRAL. MITRE,11
Arcos  al 2300,375,1699999,108799936,4533,290133,64,SEGUNDO,BELGRANO,13
Brasil al 1400,1484,2900000,185600000,1954,125067,64,SEGUNDO,CONSTITUCION,1
PARAGUAY 800,485,1600000,128000000,3299,263918,80,CUARTO,RETIRO,1
DIAZ VELEZ GRAL EUSTAQUIO,375,1100000,73920000,2933,197120,67,SEGUNDO,ALMAGRO,5
Puán,77,68000,4352000,883,56519,64,SEGUNDO,PARQUE CHACABUCO,7
Dean Funes,230,380000,26410000,1652,114826,70,SEGUNDO,SAN CRISTOBAL,3
J Jufre,290,950000,66025000,3276,227672,70,SEGUNDO,VILLA CRESPO,15
"PEDRAZA, MANUELA 2423",284,975000,62156250,3433,218860,64,PRIMER,NUÑEZ,13
Manuel Artigas,240,400000,25600000,1668,106720,64,SEGUNDO,MATADEROS,9
"ALVAREZ, JULIAN 1000",780,520000,33150000,667,42500,64,PRIMER,VILLA CRESPO,15
TRES ARROYOS,155,220000,14080000,1419,90839,64,SEGUNDO,VILLA SANTA RITA,11
Av. La Plata 2000,386,450000,28800000,1166,74611,64,SEGUNDO,PARQUE CHACABUCO,7
PILLADO  970,229,220000,14784000,961,64559,67,SEGUNDO,FLORES SUR,7
Baradero 447,311,395000,27452500,1270,88272,70,SEGUNDO,FLORESTA,10
