,DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
1825,Combate De Los Pozos,149,650000,41600000,4362,279195,64,SEGUNDO,BALVANERA,3
6477,Murillo,346,1000000,69500000,2890,200867,70,SEGUNDO,VILLA CRESPO,15
7606,Delgado 1100,375,830000,55776000,2213,148736,67,SEGUNDO,COLEGIALES,13
1265,DE LOS CONSTITUYENTES,70,165000,10560000,2357,150857,64,SEGUNDO,VILLA URQUIZA,12
4410,Av Argentina,220,115000,7360000,523,33455,64,SEGUNDO,VILLA LUGANO,8
2097,Virrey Del Pino,184,1100000,70400000,5978,382609,64,SEGUNDO,BELGRANO,13
1695,Boedo al 300,435,985000,63040000,2264,144920,64,SEGUNDO,ALMAGRO,5
6735,G Mistral,108,210000,14595000,1944,135139,70,SEGUNDO,VILLA PUEYRREDON,12
5484,Ruiz Huidobro al 3300,300,498000,34611000,1660,115370,70,SEGUNDO,SAAVEDRA,12
4064,SAN BLAS,373,520000,33280000,1394,89223,64,SEGUNDO,VELEZ SARSFIELD,10
10089,ACHEGA,428,416000,26624000,972,62206,64,SEGUNDO,VILLA URQUIZA,12
3810,Cnel P Murguiondo,340,285000,18240000,839,53677,64,SEGUNDO,MATADEROS,9
905,"VEGA, NICETO, Cnel.",431,1500000,96000000,3480,222738,64,SEGUNDO,PALERMO,14
7552,Olleros,238,1450000,97440000,6092,409412,67,SEGUNDO,BELGRANO,13
9517,Beron de Astrada al 3200,9969,4650000,312480000,466,31345,67,SEGUNDO,VILLA SOLDATI,8
10148,ANDALGALA 1000,800,380000,24225000,475,30281,64,TERCER,LINIERS,9
5535,Godoy Cruz,216,660000,45870000,3056,212361,70,SEGUNDO,VILLA CRESPO,15
6079,P Carrasco,216,359000,24950500,1662,115512,70,SEGUNDO,VELEZ SARSFIELD,10
8147,Crisologo Larralde al 3100,147,410000,27552000,2789,187429,67,SEGUNDO,SAAVEDRA,12
1524,FERRE,173,130000,8320000,751,48092,64,SEGUNDO,VILLA SOLDATI,8
7960,Av Corrientes,900,1300000,87360000,1444,97067,67,SEGUNDO,CHACARITA,15
913,AUSTRIA,320,1950000,124800000,6094,390000,64,SEGUNDO,RECOLETA,2
7078,CONCORDIA,505,490000,34055000,970,67436,70,SEGUNDO,VILLA SANTA RITA,11
7213,Yatay 215,248,695000,46704000,2802,188323,67,SEGUNDO,ALMAGRO,5
554,ALVAREZ JONTE 3200,1645,2600000,208000000,1580,126444,80,CUARTO,VILLA SANTA RITA,11
7176,mitre,182,695000,46704000,3819,256615,67,SEGUNDO,ALMAGRO,5
9643,Felipe Vallese,116,249000,16732800,2147,144248,67,SEGUNDO,FLORES NORTE,7
1792,BELGRANO,288,1200000,76800000,4167,266667,64,SEGUNDO,BALVANERA,3
9956,SAN MARTIN 3200,240,640000,40800000,2667,170000,64,TERCER,PATERNAL,15
10150,CAFAYATE 1200,100,250000,15937500,2500,159375,64,TERCER,MATADEROS,9
