DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
Baradero 447,311,420000,28224000,1350,90752,67,SEGUNDO,FLORESTA,10
Muñecas,216,660000,44352000,3056,205333,67,SEGUNDO,VILLA CRESPO,15
ESPINOSA,117,255000,16320000,2179,139487,64,SEGUNDO,PATERNAL,15
Carlos Calvo,203,300000,20160000,1478,99310,67,SEGUNDO,SAN CRISTOBAL,3
USPALLATA 3600,356,425000,27093750,1194,76106,64,TERCER,NUEVA POMPEYA,4
Av. Franklin Roosevelt al 5600,263,890000,61855000,3384,235190,70,SEGUNDO,VILLA URQUIZA,12
Darwin,182,450000,28800000,2473,158242,64,SEGUNDO,VILLA CRESPO,15
Elia,569,490000,34055000,861,59851,70,SEGUNDO,PARQUE PATRICIOS,4
Hipolito Irigoyen,278,450000,30240000,1619,108777,67,SEGUNDO,BALVANERA,3
Av Larrazabal y Av Emilio Castro,507,495000,33264000,976,65609,67,SEGUNDO,MATADEROS,9
AMENABAR AL 1000 DOBLE FRENTE,353,2000000,139000000,5666,393768,70,SEGUNDO,COLEGIALES,13
Av De Los Constituyentes,256,350000,23520000,1367,91875,67,SEGUNDO,VILLA PUEYRREDON,12
Nicolas Repetto,352,840000,56448000,2386,160364,67,SEGUNDO,CABALLITO,6
Pasaje Emilio Castelar,230,195000,13104000,848,56974,67,SEGUNDO,VELEZ SARSFIELD,10
Tapalque,158,159000,11050500,1006,69940,70,SEGUNDO,MATADEROS,9
Castro Barros al 1400,1581,900000,62550000,569,39564,70,SEGUNDO,BOEDO,5
VELASCO 1000,576,690000,46368000,1198,80500,67,SEGUNDO,VILLA CRESPO,15
JUSTO JUAN B,528,1750000,121625000,3314,230350,70,SEGUNDO,VILLA CRESPO,15
Murillo,346,1000000,67200000,2890,194220,67,SEGUNDO,VILLA CRESPO,15
Av San Pedrito,220,600000,38400000,2727,174545,64,SEGUNDO,FLORES NORTE,7
San Nicolas,360,385000,25872000,1069,71867,67,SEGUNDO,VILLA DEL PARQUE,11
ARENALES,191,1380000,88320000,7225,462408,64,SEGUNDO,RECOLETA,2
Espinosa,475,690000,47955000,1453,100958,70,SEGUNDO,PATERNAL,15
Gorriti,258,1050000,70560000,4070,273488,67,SEGUNDO,PALERMO,14
"MITRE, BARTOLOME 1400",1940,5000000,318750000,2577,164304,64,TERCER,SAN NICOLAS,1
SIMBRON,815,1600000,102400000,1963,125644,64,SEGUNDO,VILLA DEVOTO SUR,11
Uspallata,160,140000,8960000,875,56000,64,SEGUNDO,NUEVA POMPEYA,4
De los Constituyentes,254,600000,40320000,2362,158740,67,SEGUNDO,VILLA PUEYRREDON,12
Av Gaona,189,600000,40320000,3175,213333,67,SEGUNDO,FLORESTA,10
Dr Luis Belaustegui,136,170000,10880000,1250,80000,64,SEGUNDO,VELEZ SARSFIELD,10
Paysandu,613,1100000,76450000,1794,124715,70,SEGUNDO,PATERNAL,15
Holmberg 1100,568,430000,27520000,757,48451,64,SEGUNDO,VILLA ORTUZAR,15
Castillo,150,450000,28800000,3000,192000,64,SEGUNDO,VILLA CRESPO,15
BENEDETTI,571,620000,39680000,1086,69492,64,SEGUNDO,VELEZ SARSFIELD,10
SANTA MARIA DEL BUEN AIRE 800,112,118000,9440000,1054,84286,80,CUARTO,BARRACAS ESTE,4
"JUSTO, JUAN B. 9000",232,235000,18800000,1013,81034,80,CUARTO,VERSALLES,10
AV. VARELA,423,490000,32928000,1158,77844,67,SEGUNDO,FLORES SUR,7
C Donizetti,188,235000,16332500,1252,87005,70,SEGUNDO,VILLA LURO,10
J V Gonzalez,412,389000,26140800,944,63449,67,SEGUNDO,FLORESTA,10
Av Argentina,277,185000,12857500,668,46417,70,SEGUNDO,VILLA LUGANO,8
VUELTA DE OBLIGADO,318,875000,60812500,2754,191415,70,SEGUNDO,NUÑEZ,13
Melincue al 3000,296,750000,50400000,2534,170270,67,SEGUNDO,VILLA DEL PARQUE,11
"DIAZ, AVELINO",311,440000,28160000,1415,90547,64,SEGUNDO,PARQUE CHACABUCO,7
LAVALLEJA 900,155,450000,36000000,2903,232258,80,CUARTO,VILLA CRESPO,15
Epuyen 500,356,1300000,83200000,3652,233708,64,SEGUNDO,CABALLITO,6
CORRIENTES,300,2000000,134400000,6667,448000,67,SEGUNDO,VILLA CRESPO,15
BRASIL 1500,256,520000,33280000,2031,130000,64,SEGUNDO,CONSTITUCION,1
ARAUJO 1800,2019,1150000,73312500,570,36311,64,PRIMER,MATADEROS,9
CACHIMAYO 1900,173,120000,9600000,694,55491,80,CUARTO,PARQUE CHACABUCO,7
Morón 3700,380,540000,34560000,1421,90947,64,SEGUNDO,FLORESTA,10
Juan B Justo,213,700000,48650000,3286,228404,70,SEGUNDO,CABALLITO,6
José Mármol,130,297000,19008000,2285,146215,64,SEGUNDO,BOEDO,5
Besares,145,480000,30720000,3310,211862,64,SEGUNDO,SAAVEDRA,12
CASTILLO 1100,167,350000,22312500,2096,133608,64,TERCER,VILLA CRESPO,15
WARNES,343,385000,24640000,1122,71837,64,SEGUNDO,VILLA CRESPO,15
Blanco Encalada,324,1350000,93825000,4167,289583,70,SEGUNDO,BELGRANO,13
CONSTITUCIÓN,289,315000,21892500,1090,75753,70,SEGUNDO,SAN CRISTOBAL,3
Boedo,192,800000,51200000,4167,266667,64,SEGUNDO,ALMAGRO,5
PARANA 100,346,950000,76000000,2746,219653,80,CUARTO,SAN NICOLAS,1
PILAR,329,400000,26880000,1216,81702,67,SEGUNDO,LINIERS,9
Lugones al 3200,415,498000,31872000,1200,76800,64,SEGUNDO,VILLA URQUIZA,12
Venezuela,579,1350000,90720000,2332,156684,67,SEGUNDO,BALVANERA,3
Manuela Pedraza,1237,1500000,96000000,1213,77607,64,SEGUNDO,VILLA URQUIZA,12
Solano Lopez,750,1000000,64000000,1333,85333,64,SEGUNDO,AGRONOMIA,15
SANTA MAGDALENA 530,250,175000,14000000,700,56000,80,CUARTO,BARRACAS ESTE,4
Hernandarias,977,1200000,80640000,1228,82538,67,SEGUNDO,BOCA,4
OLAVARRIA 1000,977,1100000,88000000,1126,90072,80,CUARTO,BOCA,4
San Antonio,267,220000,14784000,824,55371,67,SEGUNDO,BARRACAS ESTE,4
Terrero,289,360000,23040000,1246,79723,64,SEGUNDO,VILLA GRAL. MITRE,11
TUCUMAN 3700,232,650000,41437500,2802,178610,64,PRIMER,ALMAGRO,5
"AV. Alberdi, Juan Bautista",256,870000,55680000,3398,217500,64,SEGUNDO,FLORES NORTE,7
LARSEN 3200,129,175000,14000000,1357,108527,80,CUARTO,VILLA PUEYRREDON,12
El Salvador,160,580000,40310000,3625,251938,70,SEGUNDO,PALERMO,14
Granaderos 200,95,154900,10765550,1631,113322,70,SEGUNDO,FLORES NORTE,7
SAN NICOLAS 1100,344,390000,24862500,1134,72275,64,PRIMER,VILLA SANTA RITA,11
Juan A Garcia,120,250000,16800000,2083,140000,67,SEGUNDO,MONTE CASTRO,10
Paraguay,485,1600000,102400000,3297,210986,64,SEGUNDO,RETIRO,1
SUNCHALES 721,170,250000,20000000,1471,117647,80,CUARTO,VILLA CRESPO,15
CONGRESO,150,440000,28160000,2933,187733,64,SEGUNDO,NUÑEZ,13
ERCILLA,270,260000,17472000,963,64711,67,SEGUNDO,LINIERS,9
Jorge Newbery,370,870000,58464000,2351,158011,67,SEGUNDO,CHACARITA,15
PORTELA 200,324,850000,54187500,2624,167245,64,TERCER,FLORES NORTE,7
Pareja,242,300000,20160000,1240,83306,67,SEGUNDO,VILLA PUEYRREDON,12
Cafayate,330,280000,17920000,848,54303,64,SEGUNDO,LINIERS,9
Franklin Roosevelt,400,2100000,145950000,5250,364875,70,SEGUNDO,BELGRANO,13
Quintino Bocayuva,248,580000,38976000,2339,157161,67,SEGUNDO,ALMAGRO,5
Valentin Gomez al 2800,14303,7000000,448000000,489,31322,64,SEGUNDO,BALVANERA,3
Gorriti,373,778000,49792000,2086,133491,64,SEGUNDO,PALERMO,14
Av. San Martín al 5500,203,605000,38720000,2980,190739,64,SEGUNDO,AGRONOMIA,15
Muñecas,216,660000,45870000,3056,212361,70,SEGUNDO,VILLA CRESPO,15
Virrey Del Pino,184,1100000,76450000,5978,415489,70,SEGUNDO,BELGRANO,13
DONIZETTI,1469,1300000,83200000,885,56637,64,SEGUNDO,VILLA LURO,10
RIO DE JANEIRO 500,789,1900000,121125000,2408,153517,64,TERCER,CABALLITO,6
DE LOS CONSTITUYENTES,70,165000,10560000,2357,150857,64,SEGUNDO,VILLA URQUIZA,12
DEL PARQUE,200,375000,25200000,1875,126000,67,SEGUNDO,VILLA CRESPO,15
NOGOYA,127,460000,29440000,3622,231811,64,SEGUNDO,VILLA DEL PARQUE,11
Bauness 2000,387,1100000,73920000,2842,191008,67,SEGUNDO,VILLA URQUIZA,12
Andres Lamas y Av. Gaona,2700,2600000,166400000,963,61630,64,SEGUNDO,VILLA GRAL. MITRE,11
Paraguay y Fitz Roy,420,1750000,112000000,4167,266667,64,SEGUNDO,PALERMO,14
Benjamin Franklin,239,310000,21545000,1297,90146,70,SEGUNDO,CABALLITO,6
Crisologo Larralde,255,595000,41352500,2333,162167,70,SEGUNDO,SAAVEDRA,12
GUALEGUAYCHU,140,300000,20850000,2143,148929,70,SEGUNDO,MONTE CASTRO,10
HIDALGO 600,1447,3800000,304000000,2626,210090,80,CUARTO,CABALLITO,6
LOTE TERRENO EN VENTA CABA  SAN TELMO PUERTO MADE*,642,3200000,204800000,4984,319003,64,SEGUNDO,PUERTO MADERO,1
MERCEDES,180,485000,31040000,2694,172444,64,SEGUNDO,MONTE CASTRO,10
Tandil,403,210000,14595000,521,36216,70,SEGUNDO,MATADEROS,9
AV. ALVAREZ JONTE 4100,315,599000,40252800,1902,127787,67,SEGUNDO,MONTE CASTRO,10
Ceretti,297,900000,60480000,3030,203636,67,SEGUNDO,VILLA URQUIZA,12
JUJUY 1800,618,4500000,360000000,7282,582524,80,CUARTO,PARQUE PATRICIOS,4
