,DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
8786,California,328,140000,9408000,427,28683,67,SEGUNDO,BOCA,4
680,LAVALLE 2004,271,1000000,63750000,3690,235240,64,PRIMER,BALVANERA,3
1173,"SCALABRINI ORTIZ, RAUL",415,2100000,134400000,5060,323855,64,SEGUNDO,VILLA CRESPO,15
5623,Avenida Almirante Brown,711,700000,48650000,985,68425,70,SEGUNDO,BOCA,4
6019,Cortejarena,262,180000,12510000,687,47748,70,SEGUNDO,PARQUE PATRICIOS,4
8071,CAMPILLO,362,500000,33600000,1381,92818,67,SEGUNDO,PARQUE CHAS,15
5758,Belen,546,595000,41352500,1090,75737,70,SEGUNDO,FLORESTA,10
995,"LORETO, VIRREY 3700",2390,2500000,159375000,1046,66684,64,PRIMER,CHACARITA,15
2658,Puán,77,68000,4352000,883,56519,64,SEGUNDO,PARQUE CHACABUCO,7
3851,Marcos Paz,1200,1650000,105600000,1375,88000,64,SEGUNDO,MONTE CASTRO,10
2925,J Jufre,290,950000,60800000,3276,209655,64,SEGUNDO,VILLA CRESPO,15
9670,RAMON FALCON,151,400000,26880000,2649,178013,67,SEGUNDO,FLORES NORTE,7
6925,BAHIA BLANCA,240,270000,18765000,1125,78188,70,SEGUNDO,MONTE CASTRO,10
7883,"DIRECTORIO, AVDA.",244,460000,30912000,1885,126689,67,SEGUNDO,CABALLITO,6
2467,Senillosa,259,850000,54400000,3282,210039,64,SEGUNDO,CABALLITO,6
2382,Nicaragua,289,1250000,80000000,4325,276817,64,SEGUNDO,PALERMO,14
8313,JUSTO JUAN B,381,1100000,73920000,2887,194016,67,SEGUNDO,VILLA CRESPO,15
4114,Avenida Gaona,384,1350000,86400000,3516,225000,64,SEGUNDO,VILLA GRAL. MITRE,11
4857,Pedro Rivera 2837  | USAA,225,990000,68805000,4400,305800,70,SEGUNDO,BELGRANO,13
1386,FONROUGE 1300,265,420000,26775000,1585,101038,64,PRIMER,MATADEROS,9
7251,CHILE,314,420000,28224000,1338,89885,67,SEGUNDO,BALVANERA,3
1742,PASCO,455,750000,48000000,1648,105495,64,SEGUNDO,BALVANERA,3
4028,Catamarca,103,310000,19840000,3010,192621,64,SEGUNDO,PARQUE PATRICIOS,4
2367,Costa Rica,400,1300000,83200000,3250,208000,64,SEGUNDO,PALERMO,14
8899,Virrey Liniers 2300,103,189000,12700800,1835,123309,67,SEGUNDO,BOEDO,5
4037,Av. Rivadavia,217,640000,40960000,2949,188756,64,SEGUNDO,VELEZ SARSFIELD,10
