DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
Av. Entre Rios,240,245000,16464000,1021,68600,67,SEGUNDO,PARQUE PATRICIOS,4
Tronador al 700,699,1600000,107520000,2289,153820,67,SEGUNDO,VILLA ORTUZAR,15
AV. GRAL. IRIARTE 2600,920,1500000,100800000,1630,109565,67,SEGUNDO,BARRACAS ESTE,4
"IRIGOYEN, BERNARDO de 1500",934,920000,58650000,985,62794,64,TERCER,CONSTITUCION,1
TREINTA Y TRES ORIENTALES 200,217,329000,26320000,1516,121290,80,CUARTO,ALMAGRO,5
Marcelo T de Alvear,114,645000,43344000,5658,380211,67,SEGUNDO,RECOLETA,2
"JUSTO, JUAN B.",272,250000,16000000,919,58824,64,SEGUNDO,VILLA LURO,10
Marcos Paz,158,320000,21504000,2025,136101,67,SEGUNDO,VILLA DEVOTO NORTE,11
Felix Foullier,235,550000,38225000,2340,162660,70,SEGUNDO,VILLA URQUIZA,12
Rivadavia 8300,312,730000,46720000,2340,149744,64,SEGUNDO,FLORESTA,10
Paez al 2900,540,2000000,128000000,3704,237037,64,SEGUNDO,FLORES NORTE,7
Terrero 900,113,360000,25020000,3186,221416,70,SEGUNDO,FLORES NORTE,7
Av. Cabildo al 4600,777,3500000,235200000,4505,302703,67,SEGUNDO,SAAVEDRA,12
CHORROARIN 109 - 115 - 121 - 127 - 137,1735,2999000,191936000,1729,110626,64,SEGUNDO,AGRONOMIA,15
Bolivia y Tinogasta,214,520000,33280000,2430,155514,64,SEGUNDO,VILLA DEL PARQUE,11
Pola 1200,114,260000,18070000,2281,158509,70,SEGUNDO,MATADEROS,9
VENEZUELA 3000,173,275000,22000000,1590,127168,80,CUARTO,BALVANERA,3
F Senillosa,450,1500000,100800000,3333,224000,67,SEGUNDO,CABALLITO,6
ALBARIÑO 2000,664,340000,21675000,512,32643,64,TERCER,MATADEROS,9
Lugones,397,600000,40320000,1511,101562,67,SEGUNDO,VILLA ORTUZAR,15
YERBAL 6300,221,194000,15520000,878,70226,80,CUARTO,LINIERS,9
Gral Juan B Arismendi,520,530000,33920000,1019,65231,64,SEGUNDO,PARQUE CHAS,15
ELCANO,119,175000,11760000,1471,98824,67,SEGUNDO,PATERNAL,15
Colombres al 100,458,1600000,111200000,3493,242795,70,SEGUNDO,ALMAGRO,5
Av E Galvan,111,260000,16640000,2342,149910,64,SEGUNDO,VILLA URQUIZA,12
CHICLANA,257,1200000,76800000,4669,298833,64,SEGUNDO,PARQUE PATRICIOS,4
Jose Cubas 4814,168,299000,20780500,1780,123693,70,SEGUNDO,VILLA DEVOTO NORTE,11
Crisologo Larralde,300,530000,33920000,1767,113067,64,SEGUNDO,SAAVEDRA,12
Carhue,410,350000,23520000,854,57366,67,SEGUNDO,MATADEROS,9
José Pedro Varela,216,250000,17375000,1157,80440,70,SEGUNDO,VILLA DEVOTO SUR,11
White,367,230000,14720000,627,40109,64,SEGUNDO,SAN NICOLAS,1
NEUQUEN 2100,234,650000,41437500,2778,177083,64,PRIMER,FLORES NORTE,7
Virrey Del Pino,877,870000,58464000,992,66664,67,SEGUNDO,VILLA ORTUZAR,15
Av Belgrano 3189,220,490000,32928000,2227,149673,67,SEGUNDO,BALVANERA,3
Gregorio de Laferrere al 2400,422,398000,27661000,943,65547,70,SEGUNDO,FLORES SUR,7
Tinogasta,472,580000,38976000,1229,82576,67,SEGUNDO,VILLA DEVOTO SUR,11
Av Alte G Brown,1348,1350000,93825000,1001,69603,70,SEGUNDO,BOCA,4
Av. Nazca 5500,229,390000,26208000,1703,114445,67,SEGUNDO,VILLA PUEYRREDON,12
Mozart,270,630000,43785000,2333,162167,70,SEGUNDO,VELEZ SARSFIELD,10
Juan B Justo al 3000,620,1150000,77280000,1855,124645,67,SEGUNDO,VILLA CRESPO,15
VERA al 1200,181,465000,32317500,2569,178550,70,SEGUNDO,VILLA CRESPO,15
Tandil,403,210000,13440000,521,33350,64,SEGUNDO,MATADEROS,9
Cochabamba al 3300,250,250000,17375000,1000,69500,70,SEGUNDO,BOEDO,5
Rivadavia,1623,2000000,134400000,1232,82810,67,SEGUNDO,FLORES NORTE,7
Laguna,222,230000,15985000,1036,72005,70,SEGUNDO,PARQUE AVELLANEDA,9
Esteban A Gascon,261,1100000,76450000,4215,292912,70,SEGUNDO,ALMAGRO,5
Conesa al 2700,280,950000,60800000,3393,217143,64,SEGUNDO,BELGRANO,13
Marcos Paz,1200,1650000,105600000,1375,88000,64,SEGUNDO,MONTE CASTRO,10
"PERON, JUAN DOMINGO, TTE. 3400",211,265000,21200000,1256,100474,80,CUARTO,ALMAGRO,5
Cervantes,203,350000,22400000,1724,110345,64,SEGUNDO,VILLA DEVOTO SUR,11
Guevara al 1300,370,500000,33600000,1351,90811,67,SEGUNDO,VILLA ORTUZAR,15
