DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
Av. Paseo Colon al 1100,494,1750000,117600000,3543,238057,67,SEGUNDO,SAN TELMO,1
Yerbal,588,1400000,89600000,2381,152381,64,SEGUNDO,CABALLITO,6
Araoz,260,1100000,70400000,4234,270978,64,SEGUNDO,VILLA CRESPO,15
VIRREY LORETO Y DELGADO,375,830000,57685000,2213,153827,70,SEGUNDO,BELGRANO,13
Traful  3700,300,345000,23977500,1150,79925,70,SEGUNDO,NUEVA POMPEYA,4
EMILIO LAMARCA,614,1450000,100775000,2362,164129,70,SEGUNDO,VILLA SANTA RITA,11
José Pedro Varela 3400,243,550000,38225000,2263,157305,70,SEGUNDO,VILLA DEL PARQUE,11
Garcia De Cossio,200,280000,17920000,1400,89600,64,SEGUNDO,LINIERS,9
J Jufre,150,680000,45696000,4533,304640,67,SEGUNDO,VILLA CRESPO,15
CACHI 300,424,240000,15300000,566,36085,64,TERCER,NUEVA POMPEYA,4
Sanabria,500,550000,38225000,1100,76450,70,SEGUNDO,MONTE CASTRO,10
MISIONES 250,178,490000,31237500,2753,175492,64,PRIMER,BALVANERA,3
Virrey Del Pino,1500,4000000,256000000,2667,170667,64,SEGUNDO,VILLA ORTUZAR,15
MARIO BRAVO,463,950000,60800000,2052,131317,64,SEGUNDO,ALMAGRO,5
Virrey Aviles,250,710000,45440000,2840,181760,64,SEGUNDO,COLEGIALES,13
Cochrane,460,410000,26240000,891,57043,64,SEGUNDO,VILLA PUEYRREDON,12
Defensa 1300,1314,1500000,100800000,1142,76712,67,SEGUNDO,SAN TELMO,1
Aráoz al 1200,269,1240000,83328000,4610,309770,67,SEGUNDO,PALERMO,14
MARTINEZ ROSAS,330,500000,32000000,1515,96970,64,SEGUNDO,VILLA CRESPO,15
Luis Viale,207,280000,19460000,1353,94010,70,SEGUNDO,VILLA GRAL. MITRE,11
Gral M De Escalada,303,650000,43680000,2145,144158,67,SEGUNDO,MATADEROS,9
LOTE TERRENO EN VENTA CABA  SAN TELMO PUERTO MADE*,1338,6500000,416000000,4858,310912,64,SEGUNDO,PUERTO MADERO,1
HERNANDARIAS 1600,1500,1400000,112000000,933,74667,80,CUARTO,BOCA,4
NAVARRO,227,590000,37760000,2599,166344,64,SEGUNDO,VILLA DEVOTO NORTE,11
Pizarro N°6261,370,480000,30720000,1297,83027,64,SEGUNDO,MATADEROS,9
Costa Rica,400,1300000,87360000,3250,218400,67,SEGUNDO,PALERMO,14
Av. Mosconi,169,550000,36960000,3254,218698,67,SEGUNDO,VILLA PUEYRREDON,12
"SALGUERO, JERONIMO 1400",201,460000,29325000,2289,145896,64,TERCER,PALERMO,14
PASCO 1300,369,499000,34680500,1352,93985,70,SEGUNDO,SAN CRISTOBAL,3
BARTOLOME MITRE 4000,321,720000,50040000,2243,155888,70,SEGUNDO,ALMAGRO,5
Av San Pedrito,380,180000,11520000,474,30316,64,SEGUNDO,FLORES SUR,7
Delgado,130,580000,40310000,4462,310077,70,SEGUNDO,COLEGIALES,13
TACUARI 800,387,765000,48768750,1977,126017,64,TERCER,MONTSERRAT,1
Cnel F Allende,945,2300000,147200000,2434,155767,64,SEGUNDO,VILLA DEVOTO NORTE,11
"RAMIREZ, CARLOS M. 2300",316,195000,15600000,617,49367,80,CUARTO,VILLA SOLDATI,8
Av. Rivadavia,271,440000,30580000,1624,112841,70,SEGUNDO,VELEZ SARSFIELD,10
Av Dr Juan Bautista Justo,118,360000,24192000,3051,205017,67,SEGUNDO,VILLA GRAL. MITRE,11
PARAGUAY 5400,30,98000,7840000,3267,261333,80,CUARTO,PALERMO,14
Condarco 100,854,1980000,133056000,2319,155803,67,SEGUNDO,VILLA GRAL. MITRE,11
Dr. Luis Belaustegui,136,170000,10880000,1250,80000,64,SEGUNDO,VELEZ SARSFIELD,10
Av San Juan,364,620000,43090000,1703,118379,70,SEGUNDO,CONSTITUCION,1
ALMIRANTE JUAN FRANCISCO SEGUI,321,390000,24960000,1215,77757,64,SEGUNDO,PATERNAL,15
PAREJA,450,350000,22400000,778,49778,64,SEGUNDO,VILLA PUEYRREDON,12
Rep De Honduras,140,875000,58800000,6250,420000,67,SEGUNDO,PALERMO,14
Mexico,630,1400000,89600000,2222,142222,64,SEGUNDO,MONTSERRAT,1
Juramento,214,400000,26880000,1869,125607,67,SEGUNDO,VILLA URQUIZA,12
Dr N Repetto,363,690000,47955000,1901,132107,70,SEGUNDO,VILLA CRESPO,15
"NEWBERY, JORGE 3700",157,370000,23587500,2357,150239,64,TERCER,CHACARITA,15
CONGRESO 3100,386,990000,63112500,2565,163504,64,TERCER,NUÑEZ,13
DE LOS CONSTITUYENTES,70,165000,10560000,2357,150857,64,SEGUNDO,VILLA URQUIZA,12
SIMBRON,815,1600000,102400000,1963,125644,64,SEGUNDO,VILLA DEVOTO SUR,11
Cespedes,208,1500000,100800000,7212,484615,67,SEGUNDO,PALERMO,14
Godoy Cruz,216,660000,44352000,3056,205333,67,SEGUNDO,VILLA CRESPO,15
OLAYA,90,250000,17375000,2778,193056,70,SEGUNDO,VILLA CRESPO,15
CRAMER,257,980000,68110000,3813,265019,70,SEGUNDO,BELGRANO,13
Av. Directorio,387,580000,40310000,1499,104160,70,SEGUNDO,FLORESTA,10
FITZ ROY,187,330000,21120000,1765,112941,64,SEGUNDO,VILLA CRESPO,15
Av Congreso,191,520000,36140000,2723,189215,70,SEGUNDO,VILLA URQUIZA,12
Cabildo,525,3600000,250200000,6857,476571,70,SEGUNDO,SAAVEDRA,12
A. FRANCISCO BEIRO,1300,650000,45175000,500,34750,70,SEGUNDO,VILLA DEVOTO SUR,11
RONDEAU 3576,351,380000,24320000,1083,69288,64,SEGUNDO,BOEDO,5
Medrano 400,200,630000,40320000,3150,201600,64,SEGUNDO,ALMAGRO,5
Pergamino y Av. Juan Bautista Alberdi,165,350000,23520000,2121,142545,67,SEGUNDO,FLORESTA,10
Av. Montes De Oca al 1800,882,1650000,110880000,1871,125714,67,SEGUNDO,BARRACAS ESTE,4
"DEL CARRIL, SALVADOR M. AVDA.",600,950000,60800000,1583,101333,64,SEGUNDO,FLORESTA,10
Av Corrientes,900,1300000,87360000,1444,97067,67,SEGUNDO,CHACARITA,15
Av B Rivadavia,570,1000000,67200000,1754,117895,67,SEGUNDO,VELEZ SARSFIELD,10
Viena,225,255000,16320000,1133,72482,64,SEGUNDO,VERSALLES,10
Rio de Janeiro,381,650000,43680000,1706,114646,67,SEGUNDO,CABALLITO,6
3800 JARAMILLO,141,460000,29440000,3262,208794,64,SEGUNDO,SAAVEDRA,12
Humboldt al 700,178,450000,30240000,2528,169888,67,SEGUNDO,VILLA CRESPO,15
Cnel P Murguiondo,340,285000,19152000,839,56361,67,SEGUNDO,MATADEROS,9
CERETTI,570,289000,19420800,507,34072,67,SEGUNDO,SAAVEDRA,12
Av. San Martin,240,640000,40960000,2667,170667,64,SEGUNDO,PATERNAL,15
Cañada De Gomez 2200,114,120000,8340000,1053,73158,70,SEGUNDO,MATADEROS,9
BESARES,546,590000,37760000,1081,69158,64,SEGUNDO,SAAVEDRA,12
Pacheco al 2000,168,800000,51200000,4762,304762,64,SEGUNDO,VILLA URQUIZA,12
